"ECG","PPG","filteredecg","filteredppg"
2744.229375,-2405.41579166666,-9466.42324246667,51.6790598125
2883.229375,-2398.41579166666,-9734.14124246667,59.1200598125
875.229374999995,-2409.41579166666,-8423.53184246667,61.7139598125
8574.229375,-2410.41579166666,-6648.17244246667,63.2364598125
3395.229375,-2411.41579166666,-5105.31804246667,63.4009598125
8425.229375,-2428.41579166666,-5075.05554246667,60.3736598125
5996.229375,-2424.41579166666,-5698.72254246667,64.3545598125
4272.229375,-2422.41579166666,-5469.43524246667,68.9984598125
10497.229375,-2434.41579166666,-1604.83444246667,68.7760598125
12923.229375,-2434.41579166666,1839.30935753333,67.7540598125
13156.229375,-2446.41579166666,4497.12755753333,65.9919598125
19007.229375,-2448.41579166666,5321.76645753333,62.4351598125
10665.229375,-2462.41579166666,818.040457533333,55.1916598125
7395.229375,-2473.41579166666,-5606.30864246667,48.1335598125
-2657.770625,-2483.41579166666,-9427.73274246667,47.0624598125
2189.229375,-2477.41579166666,-10080.0029424667,48.6149598125
-1818.770625,-2481.41579166666,-8446.70354246667,47.0855598125
6231.229375,-2514.41579166666,-6713.41874246667,36.5919598125
3047.229375,-2499.41579166666,-5618.25424246667,42.2945598125
4278.229375,-2500.41579166666,-4087.18794246667,50.7860598125
11619.229375,-2500.41579166666,354.123657533333,46.8038598125
9333.229375,-2521.41579166666,-680.732742466667,41.5192598125
3099.229375,-2522.41579166666,-3615.06014246667,38.2252598125
6234.229375,-2516.41579166666,-6574.44044246667,43.6073598125
-2771.770625,-2529.41579166666,-8923.64574246667,36.0723598125
-221.770625000005,-2545.41579166666,-11473.1804424667,23.9273598125
-5381.770625,-2562.41579166666,-14506.5437424667,13.2296598125
-10087.770625,-2566.41579166666,-17111.5648424667,11.7796598125
-5122.770625,-2569.41579166666,-14765.6919424667,11.9856598125
4939.229375,-2573.41579166666,-2139.36434246667,4.4225598125
25394.229375,-2597.41579166666,14770.2004575333,-2.0896401875
39252.229375,-2591.41579166666,35224.2581575333,-5.8202401875
70287.229375,-2594.41579166666,57258.3686575333,-2.8372401875
82422.229375,-2600.41579166666,76438.8646575333,-2.7933401875
96982.229375,-2599.41579166666,89290.3169575333,-3.4969401875
104562.229375,-2604.41579166666,93576.8745575333,-4.0299401875
85792.229375,-2611.41579166666,74808.6806575333,-9.0180401875
54676.229375,-2624.41579166666,47538.9057575333,-15.2211401875
31298.229375,-2622.41579166666,24667.8754575333,-22.8017401875
20757.229375,-2644.41579166666,10319.9051575333,-27.8383401875
7248.229375,-2636.41579166666,1102.39865753333,-33.4284401875
3985.229375,-2657.41579166666,-6048.40284246667,-40.0827401875
-1836.770625,-2662.41579166666,-7377.88084246667,-43.4982401875
1738.229375,-2662.41579166666,-6393.83244246667,-46.2204401875
4177.229375,-2669.41579166666,-5480.51474246667,-54.2410401875
-3972.770625,-2689.41579166666,-11637.2854424667,-64.2188401875
-10967.770625,-2687.41579166666,-17584.9541424667,-70.0047401875
-9287.770625,-2696.41579166666,-18024.7255424667,-71.5813401875
-8868.770625,-2697.41579166666,-16791.8725424667,-72.5203401875
-9030.770625,-2697.41579166666,-16843.9483424667,-75.3493401875
-9161.770625,-2713.41579166666,-16952.4019424667,-83.5877401875
-9941.770625,-2720.41579166666,-15568.8969424667,-91.3804401875
-936.770625000005,-2718.41579166666,-10289.8885424667,-93.4218401875
-980.770625000005,-2728.41579166666,-11880.3511424667,-96.8250401875
-9909.770625,-2728.41579166666,-15039.4029424667,-101.8698401875
-6240.770625,-2741.41579166666,-14915.5662424667,-109.1937401875
-4017.770625,-2747.41579166666,-14271.6673424667,-114.1915401875
-6984.770625,-2748.41579166666,-13510.1843424667,-118.6179401875
-4305.770625,-2757.41579166666,-11901.6138424667,-123.8017401875
-2750.770625,-2764.41579166666,-15276.1942424667,-133.7356401875
-12961.770625,-2780.41579166666,-19612.6074424667,-144.4138401875
-14886.770625,-2783.41579166666,-21143.9220424667,-153.7866401875
-4868.770625,-2795.41579166666,-15181.6876424667,-159.4372401875
-933.770625000005,-2797.41579166666,-9524.12284246667,-164.2504401875
-4150.770625,-2800.41579166666,-12202.4666424667,-170.7939401875
-7589.770625,-2817.41579166666,-13210.9232424667,-179.3002401875
-3571.770625,-2817.41579166666,-13486.0917424667,-188.3204401875
-5841.770625,-2830.41579166666,-12823.2641424667,-196.4418401875
-3968.770625,-2837.41579166666,-11387.6704424667,-201.4090401875
-1633.770625,-2835.41579166666,-9641.55934246667,-204.5130401875
97.2293749999953,-2839.41579166666,-8497.79164246667,-207.9497401875
