"ECG","PPG","filteredecg","filteredppg"
13732.3990416666,-2758.31091666667,23369.6515317875,10.776856025
3254.39904166665,-2755.31091666667,12887.3335317875,12.855856025
-903.600958333351,-2750.31091666667,8205.2204317875,14.946756025
3790.39904166665,-2761.31091666667,6710.9371317875,17.052556025
-404.600958333351,-2751.31091666667,6665.0141317875,19.144256025
2037.39904166665,-2746.31091666667,6581.6820317875,21.173556025
6840.39904166665,-2758.31091666667,9982.9900317875,23.254656025
9720.39904166665,-2755.31091666667,13464.7932317875,25.371956025
14240.3990416666,-2750.31091666667,13541.1729317875,27.282956025
8764.39904166665,-2758.31091666667,11827.9932317875,29.335556025
11233.3990416666,-2755.31091666667,10076.1066317875,31.589956025
12180.3990416666,-2746.31091666667,11329.7658317875,33.372456025
12463.3990416666,-2756.31091666667,7953.3245317875,34.947156025
6802.39904166665,-2731.31091666667,4018.0969317875,36.510556025
5579.39904166665,-2745.31091666667,2436.2921317875,37.287756025
13220.3990416666,-2745.31091666667,7322.4389317875,36.848456025
20513.3990416666,-2734.31091666667,10277.9799317875,35.698456025
6736.39904166665,-2744.31091666667,3679.2435317875,34.466556025
4761.39904166665,-2770.31091666667,-3343.5337682125,32.233456025
-3900.60095833335,-2773.31091666667,-8150.2869682125,28.902756025
5473.39904166665,-2764.31091666667,-9796.3716682125,26.337656025
-2452.60095833335,-2776.31091666667,-7671.5338682125,24.474356025
7436.39904166665,-2758.31091666667,-3736.2047682125,22.435156025
18321.3990416666,-2768.31091666667,1778.0479317875,20.862456025
7091.39904166665,-2785.31091666667,-4116.5717682125,20.410856025
1984.39904166665,-2770.31091666667,-10445.0900682125,20.645356025
9993.39904166665,-2777.31091666667,-6550.6002682125,20.573556025
12845.3990416666,-2782.31091666667,-6146.0114682125,19.996856025
8571.39904166665,-2765.31091666667,-7637.8516682125,19.434156025
7204.39904166665,-2776.31091666667,-10817.4693682125,18.969656025
7668.39904166665,-2791.31091666667,-10327.2850682125,18.594556025
9756.39904166665,-2787.31091666667,-6063.9452682125,18.255356025
27959.3990416666,-2782.31091666667,4035.2154317875,17.970156025
26426.3990416666,-2778.31091666667,207.3123317875,17.544056025
12451.3990416666,-2789.31091666667,-8485.2854682125,17.028656025
7367.39904166665,-2806.31091666667,-13494.0073682125,16.810856025
14614.3990416666,-2785.31091666667,-14418.2407682125,17.192056025
7643.39904166665,-2772.31091666667,-13785.8489682125,17.902956025
13245.3990416666,-2786.31091666667,-14363.0486682125,18.474556025
13484.3990416666,-2801.31091666667,-13430.4841682125,19.138356025
14632.3990416666,-2796.31091666667,-12578.7756682125,20.045956025
16414.3990416666,-2794.31091666667,-12516.2504682125,20.608656025
15876.3990416666,-2790.31091666667,-12425.5234682125,20.853556025
18823.3990416666,-2775.31091666667,-13354.1756682125,21.057256025
12646.3990416666,-2791.31091666667,-16127.4270682125,21.005356025
14051.3990416666,-2800.31091666667,-18892.9269682125,20.355256025
14420.3990416666,-2795.31091666667,-15692.5648682125,19.613656025
23155.3990416666,-2803.31091666667,-13495.5305682125,18.904656025
20547.3990416666,-2789.31091666667,-10560.2760682125,17.937056025
29443.3990416666,-2797.31091666667,-6262.1598682125,17.147156025
35560.3990416666,-2809.31091666667,-2039.2230682125,16.621356025
36580.3990416666,-2815.31091666667,973.4191317875,16.118756025
39428.3990416666,-2802.31091666667,1846.5162317875,15.584956025
41199.3990416666,-2808.31091666667,3718.3728317875,15.402556025
44527.3990416666,-2800.31091666667,4556.8748317875,15.498356025
41462.3990416666,-2807.31091666667,2540.4252317875,15.134256025
40345.3990416666,-2805.31091666667,799.9573317875,14.489256025
42288.3990416666,-2815.31091666667,-1087.7867682125,13.885956025
35984.3990416666,-2814.31091666667,-2875.3016682125,12.801956025
40774.3990416666,-2806.31091666667,-3996.1189682125,10.816856025
38506.3990416666,-2817.31091666667,-6345.0862682125,8.274256025
