"ECG","PPG","filteredecg","filteredppg"
-13638.5410416666,-236.533166666661,105837.350036367,13.1246315958333
-48061.5410416666,-229.533166666661,70178.1513363667,12.1968315958333
-80605.5410416666,-244.533166666661,41432.7729363667,11.0358315958333
-101340.541041667,-239.533166666661,22478.3901363667,9.62953159583333
-110327.541041667,-245.533166666661,10891.4636363667,7.97373159583333
-120850.541041667,-244.533166666661,3729.53083636667,6.07973159583333
-123642.541041667,-244.533166666661,2940.16173636667,3.92363159583333
-119693.541041667,-248.533166666661,4422.93563636667,1.50913159583333
-122216.541041667,-253.533166666661,3926.59143636667,-1.11046840416667
-128046.541041667,-253.533166666661,-559.504663633333,-3.97396840416667
-133851.541041667,-260.533166666661,-5047.75496363333,-7.10156840416667
-133533.541041667,-256.533166666661,-5894.07456363333,-10.4124684041667
-135902.541041667,-270.533166666661,-8427.09976363333,-14.2787684041667
-140290.541041667,-277.533166666661,-11840.8594636333,-18.6237684041667
-148172.541041667,-280.533166666661,-15275.4718636333,-22.6933684041667
-144019.541041667,-280.533166666661,-14711.7253636333,-26.6874684041667
-144131.541041667,-288.533166666661,-13746.1612636333,-30.8983684041667
-150419.541041667,-284.533166666661,-16206.5964636333,-34.7105684041667
-147479.541041667,-296.533166666661,-14112.8181636333,-37.9401684041667
-144079.541041667,-300.533166666661,-10820.1630636333,-40.9356684041667
-143191.541041667,-303.533166666661,-9244.44266363333,-43.8809684041667
-144300.541041667,-308.533166666661,-9623.06306363333,-46.7899684041667
-144967.541041667,-307.533166666661,-10739.2575636333,-49.5681684041667
-148329.541041667,-309.533166666661,-11430.6510636333,-52.2368684041667
-145252.541041667,-309.533166666661,-8743.78296363333,-55.0995684041667
-142207.541041667,-315.533166666661,-5881.15366363333,-58.0316684041667
-142988.541041667,-322.533166666661,-6481.61956363333,-60.4119684041667
-146965.541041667,-322.533166666661,-7528.19896363333,-62.6997684041667
-145445.541041667,-328.533166666661,-8096.84596363333,-65.0796684041667
-145290.541041667,-327.533166666661,-6235.29246363333,-66.5190684041667
-144919.541041667,-335.533166666661,-7591.04346363333,-67.3984684041667
-151083.541041667,-330.533166666661,-7305.73636363333,-68.1000684041667
-137326.541041667,-332.533166666661,-1300.33076363333,-67.5936684041667
-136691.541041667,-330.533166666661,1447.98503636667,-65.3869684041667
-136896.541041667,-323.533166666661,3067.38733636667,-62.1128684041667
-135469.541041667,-325.533166666661,6978.83933636667,-58.4293684041667
-127012.541041667,-325.533166666661,10087.2417363667,-53.7764684041667
-131413.541041667,-315.533166666661,11404.1891363667,-48.0043684041667
-131882.541041667,-312.533166666661,8820.63753636667,-42.3872684041667
