"ECG","PPG","filteredecg","filteredppg"
-52445.069625,-1789.52804166666,-25369.0423387333,50.454733775
-45810.069625,-1792.52804166666,-24776.8502387333,47.941033775
-55308.069625,-1791.52804166666,-24902.4263387333,44.152933775
-49599.069625,-1801.52804166666,-18580.5840387333,39.511133775
-34052.069625,-1799.52804166666,-11028.5603387333,34.468733775
-40681.069625,-1808.52804166666,-8496.53393873333,29.752033775
-37067.069625,-1809.52804166666,-9630.30863873333,27.112233775
-41929.069625,-1805.52804166666,-10839.4393387333,25.736233775
-37525.069625,-1814.52804166666,-9655.12883873333,26.242633775
-37294.069625,-1802.52804166666,-9466.66293873333,25.521333775
-41301.069625,-1814.52804166666,-9598.77533873333,23.794633775
-36680.069625,-1811.52804166666,-9478.82193873333,18.320833775
-40833.069625,-1817.52804166666,-11014.4339387333,15.343333775
-40254.069625,-1817.52804166666,-10873.7472387333,12.738933775
-36544.069625,-1821.52804166666,-2419.29283873333,11.056533775
-22553.069625,-1820.52804166666,-2271.57423873333,8.995433775
-40686.069625,-1823.52804166666,-5957.25383873333,6.307333775
-43959.069625,-1828.52804166666,-12114.7341387333,1.577133775
-36624.069625,-1829.52804166666,-7262.99943873333,0.549633775
-33782.069625,-1826.52804166666,-738.640738733333,-0.019366225
-29353.069625,-1832.52804166666,-824.923438733333,-2.924866225
-37366.069625,-1832.52804166666,-1896.37773873333,-2.098666225
-30429.069625,-1829.52804166666,-3202.96413873333,-0.502066225
-38970.069625,-1824.52804166666,-1371.27053873333,-2.035466225
-28801.069625,-1840.52804166666,1410.28276126667,-9.883166225
-32019.069625,-1843.52804166666,4912.28516126667,-15.731866225
-23424.069625,-1833.52804166666,5876.72746126667,-9.518466225
-28991.069625,-1832.52804166666,6715.15106126667,-10.715666225
-23942.069625,-1840.52804166666,7369.51246126667,-15.775966225
-25891.069625,-1849.52804166666,10732.6218612667,-23.031466225
-21094.069625,-1848.52804166666,9390.10766126667,-26.028966225
-29798.069625,-1850.52804166666,7832.79826126667,-28.391966225
-25171.069625,-1859.52804166666,7975.68146126667,-32.204866225
-20666.069625,-1855.52804166666,15493.8140612667,-36.012266225
-8649.069625,-1865.52804166666,23387.1564612667,-40.630366225
-11229.069625,-1870.52804166666,26295.7437612667,-48.757066225
-8214.069625,-1874.52804166666,28757.7896612667,-48.527166225
-4614.069625,-1867.52804166666,30127.3714612667,-45.319966225
-8205.069625,-1862.52804166666,28038.5561612667,-42.866266225
-8992.069625,-1870.52804166666,33462.0862612667,-46.801466225
4894.930375,-1870.52804166666,39858.1312612667,-51.202166225
6077.930375,-1874.52804166666,40768.5904612667,-49.124466225
-7272.069625,-1863.52804166666,35269.3168612667,-46.859766225
-4318.069625,-1868.52804166666,30429.3356612667,-44.775066225
-6713.069625,-1865.52804166666,35041.2969612667,-45.404066225
3076.930375,-1863.52804166666,37354.9978612667,-41.142266225
-5160.069625,-1859.52804166666,35549.3761612667,-42.215066225
-9034.069625,-1869.52804166666,30851.5383612667,-44.241766225
-12998.069625,-1864.52804166666,26343.4347612667,-44.941166225
-15411.069625,-1860.52804166666,25273.5754612667,-41.017566225
-16318.069625,-1860.52804166666,18543.8703612667,-38.044366225
-31059.069625,-1854.52804166666,9537.89386126667,-35.121366225
-42105.069625,-1852.52804166666,876.802761266667,-31.756466225
-38538.069625,-1851.52804166666,-508.622438733333,-31.042766225
-43095.069625,-1853.52804166666,-691.442638733333,-29.976666225
-45447.069625,-1843.52804166666,-6756.63943873333,-27.224166225
-53836.069625,-1847.52804166666,-6134.26653873333,-24.000766225
-43252.069625,-1838.52804166666,-4052.73343873333,-20.348566225
-45005.069625,-1836.52804166666,-4359.00443873333,-13.401866225
-56090.069625,-1831.52804166666,-7565.62293873333,-16.067766225
-54066.069625,-1846.52804166666,-9283.91743873333,-17.942466225
-44056.069625,-1827.52804166666,-6134.96213873333,-10.804566225
-57568.069625,-1821.52804166666,-11846.3361387333,-3.650166225
-59960.069625,-1821.52804166666,-18441.5477387333,1.069533775
-64113.069625,-1818.52804166666,-17588.1850387333,0.768333775
-55624.069625,-1821.52804166666,-13829.0212387333,2.621933775
-53718.069625,-1812.52804166666,-11176.6446387333,5.634033775
-62468.069625,-1814.52804166666,-15059.3903387333,11.601933775
-60458.069625,-1803.52804166666,-14437.6922387333,15.625133775
-59918.069625,-1808.52804166666,-12137.3983387333,18.123833775
-53030.069625,-1802.52804166666,-11967.7976387333,15.363333775
-62872.069625,-1811.52804166666,-10749.3190387333,17.677833775
-52792.069625,-1797.52804166666,-9485.51053873333,20.377833775
-54075.069625,-1804.52804166666,-8415.76073873333,21.843833775
-59810.069625,-1804.52804166666,-8165.39093873333,21.264833775
-51591.069625,-1802.52804166666,-7370.44053873333,19.485833775
-53607.069625,-1811.52804166666,-4708.03833873333,15.451233775
-52567.069625,-1811.52804166666,-3863.26333873333,15.089833775
-54525.069625,-1808.52804166666,-1073.82743873333,16.528933775
-36152.069625,-1808.52804166666,5486.02666126667,18.922733775
-45058.069625,-1807.52804166666,5621.92716126667,16.055033775
-43460.069625,-1816.52804166666,3281.49546126667,11.438133775
-47021.069625,-1821.52804166666,2977.34106126667,7.499033775
-44876.069625,-1817.52804166666,8448.38076126667,10.009333775
-38221.069625,-1815.52804166666,14578.5105612667,14.365833775
-27708.069625,-1811.52804166666,13563.2235612667,16.702633775
-55314.069625,-1814.52804166666,5040.19536126667,15.865733775
-51858.069625,-1817.52804166666,-1031.79533873333,14.320633775
-39241.069625,-1815.52804166666,7667.74596126667,14.099833775
-44980.069625,-1818.52804166666,7158.49256126667,15.316133775
-48227.069625,-1814.52804166666,3467.87396126667,16.443633775
-50066.069625,-1817.52804166666,-614.002138733333,16.235133775
-58543.069625,-1819.52804166666,-5192.79873873333,15.808233775
-56447.069625,-1817.52804166666,-3424.57423873333,14.765533775
-48530.069625,-1824.52804166666,-157.488938733333,15.306133775
-54129.069625,-1820.52804166666,1409.04986126667,16.661033775
-52693.069625,-1815.52804166666,-3359.99643873333,17.942333775
-64625.069625,-1828.52804166666,-9603.96093873333,14.115033775
-68039.069625,-1827.52804166666,-13515.5591387333,9.595333775
-60841.069625,-1832.52804166666,-9235.46773873333,7.940633775
-59845.069625,-1833.52804166666,-7110.00253873333,12.776633775
-60151.069625,-1819.52804166666,-7917.98743873333,18.977733775
-68667.069625,-1824.52804166666,-14932.3633387333,22.045533775
-73027.069625,-1825.52804166666,-13099.3071387333,20.087533775
-58228.069625,-1830.52804166666,-8951.91593873333,17.087433775
-64066.069625,-1832.52804166666,-7978.14133873333,15.636533775
-64614.069625,-1834.52804166666,-5692.09683873333,15.208133775
-53630.069625,-1838.52804166666,-3857.37893873333,15.807033775
-63639.069625,-1831.52804166666,-4776.10753873333,16.589933775
-59986.069625,-1841.52804166666,-3104.10253873333,16.151933775
-55815.069625,-1837.52804166666,-648.437738733333,15.581933775
-55496.069625,-1841.52804166666,-80.8861387333333,17.526933775
-58414.069625,-1840.52804166666,-1492.61093873333,18.893333775
-59740.069625,-1842.52804166666,-2065.22083873333,19.370533775
-53478.069625,-1843.52804166666,1059.30636126667,16.734033775
-53855.069625,-1854.52804166666,2659.20816126667,11.811933775
-52419.069625,-1858.52804166666,2631.81706126667,8.884233775
-57458.069625,-1852.52804166666,1702.11596126667,13.224833775
-56650.069625,-1853.52804166666,-3362.41553873333,14.652633775
-67959.069625,-1854.52804166666,-10716.9489387333,13.822433775
-78974.069625,-1865.52804166666,-20881.9057387333,10.555233775
-78403.069625,-1860.52804166666,-17073.2703387333,15.417433775
-64929.069625,-1854.52804166666,-9084.56533873333,21.260033775
-61422.069625,-1856.52804166666,-3546.45523873333,20.276433775
-67495.069625,-1866.52804166666,-12753.3747387333,18.499033775
-83727.069625,-1865.52804166666,-22731.2356387333,18.333033775
-80109.069625,-1856.52804166666,-20060.1564387333,21.148233775
-63959.069625,-1868.52804166666,-13703.2885387333,24.475833775
-65735.069625,-1853.52804166666,-9829.96273873333,27.996033775
-79612.069625,-1858.52804166666,-14703.0053387333,33.333433775
-65532.069625,-1857.52804166666,-10029.2783387333,32.197533775
-63765.069625,-1862.52804166666,-4902.73303873333,29.621033775
-67918.069625,-1867.52804166666,-8441.95423873333,29.726133775
-70128.069625,-1863.52804166666,-9637.74863873333,25.400033775
-67232.069625,-1882.52804166666,-9787.38973873333,20.847733775
-69997.069625,-1877.52804166666,-7600.12413873333,18.893233775
-64179.069625,-1878.52804166666,-9963.51343873333,19.811633775
-72871.069625,-1881.52804166666,-13763.2733387333,20.387333775
-81204.069625,-1885.52804166666,-19921.1722387333,19.395333775
-65840.069625,-1885.52804166666,-3108.57303873333,18.110033775
-21495.069625,-1891.52804166666,38134.8975612667,16.750533775
21899.930375,-1892.52804166666,78195.0253612667,15.468833775
40850.930375,-1897.52804166666,100777.904461267,15.312433775
26839.930375,-1891.52804166666,83470.6389612667,15.714433775
-22806.069625,-1899.52804166666,43495.0492612667,17.194933775
-60546.069625,-1893.52804166666,2827.41176126667,17.060833775
-73375.069625,-1904.52804166666,-14494.0500387333,13.219133775
-81529.069625,-1910.52804166666,-20151.0010387333,11.444833775
-78440.069625,-1906.52804166666,-18973.4198387333,11.118833775
-77997.069625,-1911.52804166666,-14801.7728387333,12.310933775
-70768.069625,-1913.52804166666,-11315.1880387333,7.460733775
-70093.069625,-1925.52804166666,-9419.66663873333,3.128933775
-75357.069625,-1922.52804166666,-11329.7247387333,4.979633775
-71768.069625,-1917.52804166666,-11642.7911387333,8.766533775
-71506.069625,-1921.52804166666,-10244.7685387333,10.932433775
-71640.069625,-1925.52804166666,-5181.10093873333,7.922533775
-55962.069625,-1931.52804166666,294.153161266667,3.515933775
-59930.069625,-1939.52804166666,1708.48806126667,-2.524966225
-73360.069625,-1950.52804166666,-7013.23033873333,-10.815066225
-70891.069625,-1957.52804166666,-7560.24773873333,-13.767166225
-70612.069625,-1954.52804166666,-4101.60283873333,-13.888366225
-59196.069625,-1960.52804166666,517.692961266667,-11.701566225
-64441.069625,-1955.52804166666,-127.159538733333,-10.649266225
-65213.069625,-1960.52804166666,-2748.97683873333,-10.991366225
-69002.069625,-1967.52804166666,-3929.88713873333,-14.260366225
-65674.069625,-1967.52804166666,-829.284338733333,-15.944266225
-59133.069625,-1973.52804166666,340.181761266667,-16.892966225
-75195.069625,-1974.52804166666,-7585.83353873333,-18.186466225
-77372.069625,-1975.52804166666,-9376.19403873333,-15.212866225
-70183.069625,-1969.52804166666,-6460.00923873333,-13.569566225
-64367.069625,-1984.52804166666,270.835961266667,-17.606266225
-57883.069625,-1984.52804166666,9675.28986126667,-18.888466225
-46090.069625,-1988.52804166666,15237.0914612667,-19.385966225
-56734.069625,-1985.52804166666,8948.72266126667,-23.666566225
-69135.069625,-2004.52804166666,1456.24646126667,-28.059166225
-69142.069625,-1999.52804166666,-2042.97403873333,-31.515966225
-57972.069625,-2002.52804166666,3924.20086126667,-31.301366225
-59294.069625,-2010.52804166666,9191.93036126667,-33.202766225
-50944.069625,-2008.52804166666,11987.5392612667,-34.015066225
-56047.069625,-2006.52804166666,9054.69176126667,-31.177066225
-63635.069625,-2010.52804166666,6098.23746126667,-33.821066225
-56088.069625,-2017.52804166666,5323.05156126667,-37.643866225
-59654.069625,-2017.52804166666,10393.8354612667,-39.524666225
-45419.069625,-2021.52804166666,16851.6146612667,-42.098766225
-40811.069625,-2024.52804166666,21510.3006612667,-45.295966225
-51318.069625,-2032.52804166666,19888.3807612667,-48.956366225
-39043.069625,-2029.52804166666,23556.6546612667,-46.355966225
-37928.069625,-2024.52804166666,26882.4561612667,-45.882666225
-43008.069625,-2038.52804166666,25366.8505612667,-52.174066225
-39709.069625,-2039.52804166666,23635.0411612667,-58.923166225
-41677.069625,-2045.52804166666,26256.0830612667,-58.906066225
-35821.069625,-2038.52804166666,25851.7187612667,-58.200866225
-42713.069625,-2040.52804166666,25244.0228612667,-57.527566225
-38464.069625,-2044.52804166666,25363.1859612667,-58.781066225
-35585.069625,-2037.52804166666,28254.6569612667,-58.361366225
-30948.069625,-2038.52804166666,26511.0585612667,-57.794366225
-58242.069625,-2044.52804166666,13706.8658612667,-57.390166225
-56172.069625,-2028.52804166666,9746.69216126667,-52.878166225
-57431.069625,-2028.52804166666,8518.99776126667,-48.865866225
-58058.069625,-2034.52804166666,2952.38746126667,-49.709166225
-74039.069625,-2020.52804166666,-5557.89163873333,-44.808766225
-79328.069625,-2020.52804166666,-12495.5973387333,-38.983566225
-71431.069625,-2012.52804166666,-13317.3345387333,-37.161766225
-85113.069625,-2013.52804166666,-17362.4339387333,-35.887466225
-81798.069625,-2011.52804166666,-21878.7248387333,-33.675966225
-88813.069625,-1999.52804166666,-23357.8641387333,-28.084066225
-87970.069625,-1999.52804166666,-24548.9450387333,-24.614566225
-89491.069625,-1993.52804166666,-25650.2728387333,-22.333466225
-89750.069625,-1991.52804166666,-29840.1235387333,-20.352566225
-97570.069625,-1989.52804166666,-29872.9125387333,-19.092266225
-85958.069625,-1984.52804166666,-29055.1438387333,-18.026766225
-94007.069625,-1986.52804166666,-28333.5551387333,-16.009666225
-91426.069625,-1977.52804166666,-29871.9409387333,-14.740066225
-94686.069625,-1979.52804166666,-29668.4384387333,-12.605166225
-84224.069625,-1972.52804166666,-25486.1951387333,-8.025966225
-84435.069625,-1962.52804166666,-23878.4108387333,-3.956266225
-85403.069625,-1966.52804166666,-24675.1186387333,-0.353966225
-88280.069625,-1953.52804166666,-28335.9746387333,1.279833775
-91646.069625,-1957.52804166666,-28478.4122387333,4.825333775
-84456.069625,-1946.52804166666,-26346.4767387333,7.806433775
-83179.069625,-1947.52804166666,-21411.5217387333,9.897333775
-77249.069625,-1946.52804166666,-19440.9091387333,10.037933775
-79583.069625,-1943.52804166666,-17646.0449387333,10.672033775
-72436.069625,-1939.52804166666,-14408.6886387333,13.624933775
-70313.069625,-1936.52804166666,-11998.6177387333,15.334533775
-72769.069625,-1937.52804166666,-9878.06523873333,17.162033775
-61157.069625,-1926.52804166666,-9166.98483873333,18.690433775
-71573.069625,-1933.52804166666,-6736.07543873333,20.030333775
-57373.069625,-1923.52804166666,-6009.65923873333,21.969533775
-68859.069625,-1922.52804166666,-9038.17563873333,27.238533775
-72502.069625,-1915.52804166666,-10439.9515387333,30.165533775
-63841.069625,-1910.52804166666,-9178.86793873333,31.233233775
-62632.069625,-1923.52804166666,-4361.93883873333,31.182933775
-58181.069625,-1904.52804166666,-3405.56293873333,34.690233775
-59618.069625,-1910.52804166666,-1932.36393873333,38.347033775
-54352.069625,-1909.52804166666,1703.52826126667,37.945133775
-49376.069625,-1908.52804166666,3743.83236126667,37.177133775
-57151.069625,-1907.52804166666,-340.913538733333,37.206133775
-58592.069625,-1909.52804166666,-1382.94153873333,35.325833775
-55127.069625,-1910.52804166666,-959.906038733333,33.651733775
-53606.069625,-1911.52804166666,-1653.86103873333,35.158533775
-56651.069625,-1904.52804166666,4148.40566126667,37.849133775
-39081.069625,-1907.52804166666,10087.2650612667,39.922833775
-41874.069625,-1902.52804166666,10093.2457612667,37.458833775
-52978.069625,-1912.52804166666,3746.32966126667,35.583333775
-49182.069625,-1907.52804166666,-1707.84883873333,33.786933775
-55023.069625,-1910.52804166666,2612.17716126667,33.393433775
-37696.069625,-1913.52804166666,6572.65466126667,31.061933775
-44634.069625,-1913.52804166666,9695.82636126667,28.900533775
-40291.069625,-1915.52804166666,8644.49166126667,27.907833775
-39483.069625,-1914.52804166666,6486.01356126667,29.162233775
-44276.069625,-1910.52804166666,2130.61246126667,30.623233775
-56696.069625,-1913.52804166666,-5075.19463873333,30.598333775
-46940.069625,-1912.52804166666,3306.86596126667,28.906333775
-27755.069625,-1915.52804166666,14512.6869612667,27.783633775
-32387.069625,-1913.52804166666,18067.4059612667,29.708333775
-29886.069625,-1908.52804166666,15529.0323612667,29.650433775
-38152.069625,-1913.52804166666,11918.6684612667,27.984033775
-30666.069625,-1920.52804166666,9827.68716126667,25.524633775
-39353.069625,-1911.52804166666,7018.85056126667,26.458733775
-38095.069625,-1917.52804166666,5662.56216126667,26.992033775
-33077.069625,-1918.52804166666,9430.44666126667,22.396033775
-29376.069625,-1923.52804166666,14113.5462612667,19.755433775
-22176.069625,-1923.52804166666,17495.1525612667,17.388533775
-26497.069625,-1928.52804166666,16915.9265612667,15.592433775
-25518.069625,-1928.52804166666,16285.6933612667,12.770233775
-26279.069625,-1933.52804166666,18001.4833612667,12.051033775
-11766.069625,-1925.52804166666,23952.2608612667,16.142133775
-14561.069625,-1921.52804166666,25777.4661612667,20.668133775
-13312.069625,-1920.52804166666,23457.7068612667,22.692933775
-22211.069625,-1924.52804166666,16383.3190612667,17.812533775
-29231.069625,-1931.52804166666,11993.2716612667,18.928733775
-26643.069625,-1920.52804166666,8416.65836126667,20.844433775
-33060.069625,-1924.52804166666,3300.04756126667,18.769633775
-39223.069625,-1936.52804166666,2462.20516126667,14.871633775
-31397.069625,-1929.52804166666,2003.72346126667,12.157233775
-36224.069625,-1934.52804166666,-3744.32613873333,14.681733775
-50356.069625,-1930.52804166666,-6177.72443873333,14.743833775
-34690.069625,-1935.52804166666,-6117.32923873333,15.387933775
-38890.069625,-1927.52804166666,-2410.81253873333,17.494233775
-38123.069625,-1931.52804166666,-5440.69233873333,17.461333775
-40892.069625,-1935.52804166666,-8949.15273873333,14.537833775
-45344.069625,-1933.52804166666,-8271.33613873333,16.423833775
-34915.069625,-1930.52804166666,-6782.70413873333,18.638833775
-40987.069625,-1935.52804166666,-6731.61743873333,18.657833775
-41151.069625,-1935.52804166666,-9609.13553873333,14.412033775
-43470.069625,-1947.52804166666,-11532.5054387333,9.583433775
-40489.069625,-1947.52804166666,-7623.37033873333,6.550633775
-35435.069625,-1949.52804166666,-14533.7925387333,8.532433775
-59292.069625,-1949.52804166666,-23253.6687387333,12.824133775
-55503.069625,-1936.52804166666,-29565.1785387333,16.468233775
-46391.069625,-1951.52804166666,-12768.8368387333,16.542233775
-7587.069625,-1946.52804166666,17573.7710612667,14.961833775
27447.930375,-1948.52804166666,61519.9480612667,14.789833775
72032.930375,-1962.52804166666,88833.9982612667,5.888233775
66120.930375,-1972.52804166666,90988.4294612667,-1.834466225
19720.930375,-1968.52804166666,50504.8827612667,1.050433775
-21264.069625,-1967.52804166666,8286.18106126667,2.729633775
-56341.069625,-1974.52804166666,-23923.6669387333,3.682833775
-51847.069625,-1969.52804166666,-28713.5424387333,2.176833775
-50117.069625,-1981.52804166666,-29010.9423387333,1.498933775
-54103.069625,-1978.52804166666,-26787.9726387333,0.954433775
-49250.069625,-1979.52804166666,-24084.7873387333,0.923733775
-44807.069625,-1990.52804166666,-22948.3081387333,-2.369666225
-50494.069625,-1990.52804166666,-21198.2815387333,-3.872566225
-37406.069625,-1986.52804166666,-16959.7325387333,1.792933775
-39222.069625,-1985.52804166666,-15521.8626387333,4.447533775
-42027.069625,-1989.52804166666,-16016.8635387333,5.487833775
-37113.069625,-1987.52804166666,-18507.4867387333,4.385133775
-48342.069625,-1997.52804166666,-19383.3819387333,0.266733775
-40391.069625,-2000.52804166666,-17769.5177387333,-4.004166225
-30562.069625,-2007.52804166666,-10551.9531387333,-3.920566225
-36574.069625,-2001.52804166666,-14879.5824387333,-1.441566225
-46489.069625,-2004.52804166666,-20937.3461387333,-0.196066225
-39317.069625,-2011.52804166666,-21243.6513387333,-5.445166225
-43122.069625,-2018.52804166666,-21344.8317387333,-9.498866225
-41698.069625,-2022.52804166666,-20309.7124387333,-11.740966225
-36475.069625,-2019.52804166666,-16657.5711387333,-10.826166225
-33851.069625,-2024.52804166666,-12450.6140387333,-11.256666225
-27888.069625,-2024.52804166666,-9697.80933873333,-12.966166225
-32175.069625,-2032.52804166666,-10343.3309387333,-15.800066225
-32553.069625,-2033.52804166666,-13376.7382387333,-16.892666225
-36810.069625,-2034.52804166666,-14362.2892387333,-17.271466225
-27302.069625,-2036.52804166666,-8712.45033873333,-17.964566225
-21105.069625,-2039.52804166666,-4019.21933873333,-20.996366225
-22319.069625,-2046.52804166666,-1270.96263873333,-24.221666225
-19642.069625,-2044.52804166666,-1989.21213873333,-26.138966225
-24504.069625,-2050.52804166666,-6005.44863873333,-27.368966225
-28896.069625,-2052.52804166666,-6760.66853873333,-33.934366225
-17872.069625,-2064.52804166666,-2572.46083873333,-39.124166225
-17970.069625,-2062.52804166666,2894.90616126667,-41.500166225
-11915.069625,-2059.52804166666,6150.67236126667,-36.968466225
-9752.069625,-2056.52804166666,6680.02186126667,-37.157366225
-13514.069625,-2061.52804166666,6495.55756126667,-40.205466225
-10360.069625,-2069.52804166666,7773.48916126667,-45.552166225
-5784.069625,-2068.52804166666,13673.6027612667,-50.490766225
272.930374999996,-2076.52804166666,21109.1409612667,-53.907466225
12546.930375,-2075.52804166666,27499.9894612667,-53.505066225
6089.930375,-2068.52804166666,24023.7659612667,-54.115866225
2394.930375,-2077.52804166666,19475.3183612667,-56.288066225
928.930374999996,-2080.52804166666,23621.2758612667,-61.399166225
20594.930375,-2078.52804166666,35643.8801612667,-61.281866225
27598.930375,-2076.52804166666,45900.5699612667,-60.554466225
24192.930375,-2080.52804166666,43160.7375612667,-62.651766225
17866.930375,-2078.52804166666,36930.0583612667,-62.396166225
13462.930375,-2075.52804166666,31025.2777612667,-62.411466225
9079.930375,-2080.52804166666,31540.1929612667,-65.712766225
20046.930375,-2080.52804166666,34048.1110612667,-65.602266225
16561.930375,-2074.52804166666,33868.5791612667,-62.524466225
2121.930375,-2066.52804166666,24919.9483612667,-56.474566225
3844.930375,-2061.52804166666,20965.0034612667,-50.817266225
2610.930375,-2053.52804166666,25432.3147612667,-44.962666225
7657.930375,-2047.52804166666,19880.2445612667,-41.763766225
-15910.069625,-2045.52804166666,11705.1482612667,-39.822866225
-10427.069625,-2045.52804166666,3229.16546126667,-37.049166225
-21815.069625,-2033.52804166666,1266.82636126667,-32.499266225
-17814.069625,-2033.52804166666,1373.87326126667,-29.869166225
-15824.069625,-2036.52804166666,2649.74016126667,-35.349966225
-23982.069625,-2037.52804166666,-4204.02113873333,-30.262566225
-30632.069625,-2017.52804166666,-11614.1301387333,-22.361666225
-35891.069625,-2017.52804166666,-12114.7464387333,-16.989966225
-24568.069625,-2014.52804166666,-8403.84473873333,-13.602766225
-26447.069625,-2004.52804166666,-6021.38293873333,-9.497266225
-33416.069625,-2000.52804166666,-12721.5799387333,-2.059666225
