"ECG","PPG","filteredecg","filteredppg"
-29166.77825,-19165.924875,-2230.31199777083,295.68973035
-33165.77825,-19178.924875,-5531.95199777083,306.14983035
-29434.77825,-19179.924875,-5735.23879777083,314.33063035
-30926.77825,-19200.924875,-1118.07469777083,316.85883035
-18472.77825,-19218.924875,3695.66730222917,316.67263035
-21080.77825,-19230.924875,6466.02760222917,318.38453035
-25982.77825,-19253.924875,-5562.45869777083,316.21473035
-53131.77825,-19278.924875,-18462.7907977708,312.27073035
-37710.77825,-19284.924875,-23192.4907977708,303.81503035
-49400.77825,-19332.924875,-21829.2222977708,299.81523035
-36580.77825,-19323.924875,-21873.3560977708,296.55513035
-55778.77825,-19357.924875,-28646.4156977708,297.52263035
-53905.77825,-19377.924875,-24268.1072977708,280.30123035
-33406.77825,-19424.924875,-16920.0537977708,259.91193035
-39018.77825,-19442.924875,-15623.9711977708,243.67933035
-42155.77825,-19472.924875,-16386.0077977708,233.80293035
-34501.77825,-19491.924875,-18129.9510977708,228.42963035
-44954.77825,-19500.924875,-20282.5191977708,230.60523035
-40203.77825,-19518.924875,-19897.1729977708,221.75163035
-36092.77825,-19556.924875,-18575.5357977708,206.35783035
-41976.77825,-19578.924875,-18665.2951977708,184.82363035
-31715.77825,-19623.924875,-12633.7683977708,161.21693035
-22402.77825,-19654.924875,-6622.08719777083,139.25783035
-29503.77825,-19675.924875,-5256.24909777083,123.39703035
-21741.77825,-19707.924875,-9522.33989777083,113.06563035
-34144.77825,-19711.924875,-10029.6852977708,100.02183035
-16204.77825,-19767.924875,-1058.78749777083,75.71433035
11073.22175,-19785.924875,36585.0398022292,68.17963035
67793.22175,-19785.924875,87036.8604022292,64.81073035
128389.22175,-19808.924875,142657.209402229,50.62543035
148979.22175,-19851.924875,160623.375302229,26.09633035
128593.22175,-19865.924875,147279.249202229,-2.19366965
85962.22175,-19930.924875,98235.1687022292,-25.65486965
19640.22175,-19916.924875,46234.2787022292,-24.22676965
-11942.77825,-19918.924875,-2321.65099777083,-16.81466965
-56272.77825,-19934.924875,-37190.1798977708,-22.75566965
-72158.77825,-19956.924875,-47447.1253977708,-50.76036965
-54683.77825,-20012.924875,-45159.8456977708,-88.53386965
