"ECG","PPG","filteredecg","filteredppg"
-72019.7049583333,-1476.56383333332,43470.9916405292,48.4677396958333
-63595.7049583333,-1492.56383333332,33017.6254405292,46.8808396958333
-103336.704958333,-1511.56383333332,18129.9619405292,49.4880396958333
-100424.704958333,-1517.56383333332,20289.3114405292,59.4959396958333
-79554.7049583333,-1517.56383333332,31790.7740405292,70.1873396958333
-60312.7049583333,-1538.56383333332,38849.2034405292,72.1148396958333
-86809.7049583333,-1545.56383333332,26334.1515405292,89.9088396958333
-90133.7049583333,-1527.56383333332,16154.5289405292,111.384939695833
-70926.7049583333,-1525.56383333332,35563.8909405292,124.914139695833
-48984.7049583333,-1558.56383333332,33340.8640405292,120.710939695833
-85938.7049583333,-1571.56383333332,21902.9870405292,111.531439695833
-93178.7049583333,-1593.56383333332,4698.23544052917,107.602239695833
-81622.7049583333,-1608.56383333332,16750.6433405292,115.653939695833
-53041.7049583333,-1597.56383333332,27022.7201405292,122.228039695833
-95351.7049583333,-1635.56383333332,9156.79464052917,113.399639695833
-97446.7049583333,-1661.56383333332,5903.98194052917,103.145039695833
-85509.7049583333,-1673.56383333332,10390.6348405292,98.2019396958333
-62740.7049583333,-1679.56383333332,14613.5114405292,106.018539695833
-98979.7049583333,-1686.56383333332,-5501.21015947083,108.627339695833
-111301.704958333,-1706.56383333332,-22557.3627594708,106.144039695833
-90836.7049583333,-1726.56383333332,-3167.05095947083,94.1151396958333
-64101.7049583333,-1753.56383333332,-3127.58735947083,88.9053396958333
-99611.7049583333,-1754.56383333332,-11434.6921594708,84.7164396958333
-106987.704958333,-1787.56383333332,-25938.1230594708,79.1294396958333
-85550.7049583333,-1794.56383333332,-6887.89165947083,79.1500396958333
-52807.7049583333,-1802.56383333332,9542.34284052917,82.2424396958333
-91915.7049583333,-1807.56383333332,-9670.79625947083,84.0290396958333
-103862.704958333,-1827.56383333332,-15199.5738594708,77.6719396958333
-85472.7049583333,-1846.56383333332,-12221.2127594708,67.0543396958333
-65638.7049583333,-1872.56383333332,-5610.99755947083,54.8998396958333
-94518.7049583333,-1886.56383333332,-20376.6256594708,53.4171396958333
-93491.7049583333,-1887.56383333332,-25097.9213594708,52.6035396958333
-53620.7049583333,-1915.56383333332,19076.4710405292,42.1780396958333
12627.2950416667,-1934.56383333332,49407.3797405292,36.1072396958333
-5346.70495833334,-1935.56383333332,67603.5789405292,30.8114396958333
6820.29504166666,-1965.56383333332,64967.3094405292,25.7461396958333
19744.2950416667,-1971.56383333332,76103.7039405292,14.8093396958333
30433.2950416667,-2008.56383333332,73243.1632405292,5.32233969583333
-32783.7049583333,-1995.56383333332,31288.9245405292,-0.201860304166667
-59574.7049583333,-2032.56383333332,9841.42854052917,-15.5980603041667
-53948.7049583333,-2056.56383333332,362.291040529167,-31.5743603041667
-43167.7049583333,-2064.56383333332,-4725.38035947083,-33.9627603041667
-85672.7049583333,-2074.56383333332,-26260.2864594708,-44.6944603041667
-87531.7049583333,-2103.56383333332,-41823.1413594708,-58.5671603041667
-72663.7049583333,-2127.56383333332,-22980.2816594708,-72.8558603041667
-49989.7049583333,-2128.56383333332,-18950.2522594708,-73.9927603041667
-86636.7049583333,-2135.56383333332,-35593.9437594708,-69.7121603041667
-88763.7049583333,-2141.56383333332,-40420.7245594708,-77.5118603041667
-82136.7049583333,-2171.56383333332,-37406.1788594708,-94.4227603041667
-56583.7049583333,-2200.56383333332,-30873.8225594708,-122.569560304167
-84034.7049583333,-2236.56383333332,-45445.5333594708,-151.330960304167
-94746.7049583333,-2264.56383333332,-59987.0667594708,-172.294660304167
