"ECG","PPG","filteredecg","filteredppg"
-78584.388625,-8594.70624999999,192895.6512317,-287.051389325
-113237.388625,-8568.70624999999,147760.6050317,-253.397189325
-142640.388625,-8553.70624999999,113162.9505317,-219.266889325
-156517.388625,-8518.70624999999,93243.2103317,-183.993089325
-155140.388625,-8503.70624999999,82190.9188317,-147.757089325
-156440.388625,-8466.70624999999,74245.4310317,-113.138089325
-159427.388625,-8449.70624999999,64290.1797317,-76.879989325
-161375.388625,-8419.70624999999,54177.9290317,-41.717289325
-161986.388625,-8393.70624999999,45223.0114317,-9.798689325
-166638.388625,-8381.70624999999,29199.3630317,25.240910675
-178462.388625,-8343.70624999999,11219.4552317,57.939210675
-194332.388625,-8328.70624999999,-3811.6998683,82.515210675
-179023.388625,-8334.70624999999,-5441.6915683,96.138710675
-172865.388625,-8321.70624999999,-4558.0730683,108.301410675
-177105.388625,-8308.70624999999,-10033.4594683,127.726810675
-171810.388625,-8306.70624999999,-23766.5843683,142.468210675
-193553.388625,-8299.70624999999,-37160.8941683,152.536210675
-180946.388625,-8303.70624999999,-43826.9684683,156.063410675
-175197.388625,-8316.70624999999,-39619.1172683,154.653510675
-161432.388625,-8322.70624999999,-33915.1344683,152.676910675
-152249.388625,-8324.70624999999,-34111.5961683,155.669110675
-157881.388625,-8335.70624999999,-39057.2024683,147.683510675
-152284.388625,-8358.70624999999,-43191.9285683,135.768710675
-138904.388625,-8375.70624999999,-40707.9127683,125.014010675
-139524.388625,-8380.70624999999,-46159.3302683,124.595210675
-137593.388625,-8384.70624999999,-53611.1780683,128.132410675
-146097.388625,-8381.70624999999,-55941.0919683,130.198810675
-121168.388625,-8396.70624999999,-53888.3586683,126.735310675
-122964.388625,-8406.70624999999,-51850.1126683,116.879610675
-122589.388625,-8429.70624999999,-56039.3438683,96.593510675
-107929.388625,-8461.70624999999,-53347.0370683,84.135110675
-102541.388625,-8453.70624999999,-50770.3197683,77.645910675
-101197.388625,-8465.70624999999,-54288.6143683,78.348010675
-95908.388625,-8470.70624999999,-54606.7328683,78.872310675
-87806.388625,-8469.70624999999,-53030.6416683,77.641410675
-79048.388625,-8480.70624999999,-49361.9526683,68.601810675
-70383.388625,-8502.70624999999,-47920.5610683,60.247410675
-66945.388625,-8500.70624999999,-47934.8735683,53.613410675
-62658.388625,-8508.70624999999,-49092.7016683,52.222010675
-57833.388625,-8519.70624999999,-50944.7051683,40.202710675
-57210.388625,-8539.70624999999,-54130.7078683,27.639110675
-57277.388625,-8542.70624999999,-59082.7956683,22.823110675
-57099.388625,-8544.70624999999,-65340.6095683,16.007310675
-60442.388625,-8557.70624999999,-70679.2639683,6.980010675
-54975.388625,-8581.70624999999,-73434.1592683,-2.976289325
-51469.388625,-8565.70624999999,-70245.2298683,-3.403589325
-39623.388625,-8575.70624999999,-70677.8793683,0.872510675
-45051.388625,-8571.70624999999,-70031.9409683,-2.558889325
-30543.388625,-8584.70624999999,-70293.6814683,-9.030889325
-33967.388625,-8586.70624999999,-72966.7036683,-18.721989325
