"ECG","PPG","filteredecg","filteredppg"
-39293.039375,-1124.07633333333,-5186.9979166625,352.816443241667
-37736.039375,-1132.07633333333,-2219.7953166625,351.474143241667
-32760.039375,-1129.07633333333,-1114.4291166625,349.503343241667
-37932.039375,-1141.07633333333,-2580.0881166625,344.268843241667
-37319.039375,-1151.07633333333,-4212.7235166625,335.333343241667
-36846.039375,-1164.07633333333,-2747.8745166625,322.695943241667
-34623.039375,-1185.07633333333,-1700.8630166625,308.043743241667
-35164.039375,-1197.07633333333,-1530.9101166625,294.914743241667
-36481.039375,-1206.07633333333,-3366.5084166625,287.830643241667
-39758.039375,-1215.07633333333,-7108.3026166625,279.639843241667
-44031.039375,-1227.07633333333,-9676.0604166625,270.277343241667
-40198.039375,-1239.07633333333,-7297.7883166625,258.337443241667
-35806.039375,-1254.07633333333,-5124.5458166625,246.943543241667
-37616.039375,-1265.07633333333,-4356.4747166625,234.928343241667
-39369.039375,-1279.07633333333,-6671.4941166625,220.673643241667
-41400.039375,-1298.07633333333,-9223.4518166625,208.489043241667
-44732.039375,-1304.07633333333,-10872.3040166625,195.386043241667
-41293.039375,-1325.07633333333,-9901.1936166625,177.677643241667
-41432.039375,-1347.07633333333,-9822.6601166625,163.694543241667
-43357.039375,-1350.07633333333,-10547.0277166625,150.505343241667
-43453.039375,-1368.07633333333,-12798.9088166625,133.691443241667
-46976.039375,-1393.07633333333,-12550.5537166625,120.468643241667
-41509.039375,-1389.07633333333,-11480.5159166625,108.699743241667
-42660.039375,-1408.07633333333,-10023.8137166625,97.7464432416667
-42918.039375,-1425.07633333333,-12070.9218166625,79.0107432416667
-46681.039375,-1446.07633333333,-13314.2279166625,56.8627432416667
-40848.039375,-1468.07633333333,-9871.5737166625,31.1240432416667
-36279.039375,-1495.07633333333,-7355.0410166625,12.5935432416667
-38183.039375,-1499.07633333333,-6500.0004166625,-4.67985675833333
-39737.039375,-1525.07633333333,-8696.1762166625,-25.3268567583333
-40169.039375,-1548.07633333333,-9395.2404166625,-45.7978567583333
-37728.039375,-1557.07633333333,-8223.6945166625,-67.0018567583333
-36810.039375,-1589.07633333333,-4700.0385166625,-90.6731567583333
-23490.039375,-1605.07633333333,9881.1284833375,-109.442956758333
-462.039374999993,-1618.07633333333,30514.6772833375,-126.883356758333
24481.960625,-1634.07633333333,55337.2984833375,-147.749956758333
39104.960625,-1664.07633333333,63723.7087833375,-175.765556758333
27066.960625,-1687.07633333333,62202.2078833375,-204.656256758333
26152.960625,-1712.07633333333,53381.0676833375,-228.465256758333
12278.960625,-1723.07633333333,42447.8482833375,-241.397356758333
522.960625000007,-1726.07633333333,29886.4963833375,-254.294356758333
-12501.039375,-1754.07633333333,18122.9064833375,-278.918956758333
-21005.039375,-1778.07633333333,9325.4955833375,-301.863056758333
-27499.039375,-1788.07633333333,3633.6717833375,-323.169456758333
-26944.039375,-1807.07633333333,1217.2011833375,-342.338856758333
-31501.039375,-1825.07633333333,-1555.3668166625,-363.831956758333
-33260.039375,-1840.07633333333,-2401.6930166625,-383.171956758333
-28450.039375,-1858.07633333333,-1573.3197166625,-406.527756758333
-30367.039375,-1884.07633333333,-1164.1476166625,-429.686356758333
-33806.039375,-1890.07633333333,-3312.3034166625,-449.230056758333
-31431.039375,-1914.07633333333,-2934.9506166625,-474.071356758333
-31540.039375,-1937.07633333333,-3159.5129166625,-498.745756758333
-36610.039375,-1949.07633333333,-7256.7103166625,-516.025056758333
-39537.039375,-1959.07633333333,-8745.9601166625,-535.825056758333
-37250.039375,-1983.07633333333,-7466.5842166625,-556.220656758333
-29788.039375,-1994.07633333333,-2260.3201166625,-576.168256758333
-28834.039375,-2008.07633333333,-439.6815166625,-597.050456758333
-29568.039375,-2028.07633333333,-167.5451166625,-620.628756758333
-28103.039375,-2056.07633333333,-121.1153166625,-648.272956758333
-30296.039375,-2068.07633333333,-2498.4176166625,-669.130056758333
-34427.039375,-2081.07633333333,-4083.1923166625,-687.809956758333
-28686.039375,-2100.07633333333,-981.3757166625,-707.845956758333
-26282.039375,-2110.07633333333,-1236.9990166625,-727.391856758333
-32363.039375,-2127.07633333333,-3098.1030166625,-744.763456758333
