"ECG","PPG","filteredecg","filteredppg"
22639.97125,-561.685958333343,-39405.0366363708,7.6719094
23373.97125,-562.685958333343,-36156.6607363708,8.2362094
30166.97125,-568.685958333343,-32300.8248363708,8.7077094
31869.97125,-561.685958333343,-30456.1392363708,9.0657094
30688.97125,-562.685958333343,-30540.1656363708,9.2979094
27620.97125,-553.685958333343,-32359.1501363708,9.4172094
29209.97125,-556.685958333343,-29156.0788363708,9.4216094
35532.97125,-558.685958333343,-25069.1392363708,9.3080094
36442.97125,-556.685958333343,-23924.1958363708,9.0883094
31700.97125,-553.685958333343,-26035.1411363708,8.7381094
32136.97125,-556.685958333343,-27156.3368363708,8.2489094
35002.97125,-557.685958333343,-24801.3601363708,7.6566094
43197.97125,-558.685958333343,-8008.84423637083,6.7996094
76138.97125,-554.685958333343,20593.8232636292,5.7108094
123634.97125,-556.685958333343,61500.9979636292,4.7179094
145538.97125,-557.685958333343,90171.2073636292,3.8230094
161266.97125,-561.685958333343,104409.614363629,2.8804094
158421.97125,-555.685958333343,99775.6847636292,1.9951094
124675.97125,-553.685958333343,64145.0284636292,1.3359094
75297.97125,-557.685958333343,22611.6699636292,0.7985094
52192.97125,-559.685958333343,74.3687636291667,0.0793094
56670.97125,-559.685958333343,-5585.22243637083,-0.8282906
46574.97125,-556.685958333343,-4163.63203637083,-1.7719906
51694.97125,-559.685958333343,-4423.70393637083,-2.8178906
49517.97125,-553.685958333343,-8573.55573637083,-4.0314906
39326.97125,-561.685958333343,-13255.5036363708,-5.3601906
37664.97125,-552.685958333343,-14379.1916363708,-6.6916906
46299.97125,-561.685958333343,-8138.37073637083,-8.1048906
49875.97125,-565.685958333343,-2669.90323637083,-9.6349906
47181.97125,-563.685958333343,-6949.02353637083,-11.1049906
35664.97125,-568.685958333343,-12041.0633363708,-12.6055906
36608.97125,-556.685958333343,-14151.1452363708,-14.2014906
45172.97125,-561.685958333343,-7232.74633637083,-15.6765906
46213.97125,-568.685958333343,-7137.41663637083,-16.9472906
40322.97125,-565.685958333343,-9924.20033637083,-18.1259906
35659.97125,-565.685958333343,-13610.4954363708,-19.2909906
37805.97125,-569.685958333343,-11194.6911363708,-20.4793906
41970.97125,-565.685958333343,-6860.51923637083,-21.6497906
46265.97125,-564.685958333343,-4250.39063637083,-22.7622906
42504.97125,-569.685958333343,-5129.41303637083,-23.6881906
42902.97125,-567.685958333343,-6659.60693637083,-24.4901906
40448.97125,-573.685958333343,-5961.98233637083,-25.4164906
46107.97125,-566.685958333343,29.7921636291667,-26.4745906
53065.97125,-566.685958333343,6822.12506362917,-27.5359906
58500.97125,-572.685958333343,9024.58946362917,-28.6440906
49717.97125,-567.685958333343,5920.12856362917,-29.9705906
51016.97125,-568.685958333343,5454.76486362917,-31.2911906
55374.97125,-567.685958333343,6703.14076362917,-32.8033906
52385.97125,-574.685958333343,8885.79626362917,-34.5655906
56594.97125,-577.685958333343,12354.6618636292,-35.8186906
62827.97125,-574.685958333343,15921.8943636292,-36.8813906
60951.97125,-574.685958333343,18335.3450636292,-38.0354906
61993.97125,-572.685958333343,17713.4895636292,-38.4665906
61459.97125,-571.685958333343,19651.1287636292,-37.7919906
66084.97125,-577.685958333343,23399.5960636292,-36.5252906
71942.97125,-573.685958333343,29989.9009636292,-35.1956906
76225.97125,-568.685958333343,32755.1679636292,-33.3921906
73047.97125,-562.685958333343,32368.5377636292,-30.9600906
69512.97125,-557.685958333343,27264.6327636292,-28.8120906
63748.97125,-555.685958333343,27201.6186636292,-26.9194906
70486.97125,-556.685958333343,27538.4303636292,-24.8380906
64371.97125,-543.685958333343,24459.2539636292,-22.8582906
56305.97125,-552.685958333343,20964.6436636292,-21.3095906
59500.97125,-556.685958333343,17970.6635636292,-19.9770906
53583.97125,-546.685958333343,16872.8251636292,-18.3342906
52013.97125,-545.685958333343,13657.8612636292,-16.4526906
45074.97125,-541.685958333343,9851.59676362917,-14.5860906
45338.97125,-540.685958333343,4715.89046362917,-12.4810906
33556.97125,-540.685958333343,-290.540336370833,-9.7270906
33758.97125,-535.685958333343,-4250.20133637083,-6.5490906
30807.97125,-525.685958333343,-4785.34393637083,-3.6477906
29596.97125,-523.685958333343,-5167.21453637083,-0.8485906
29071.97125,-520.685958333343,-5063.79033637083,2.1483094
31518.97125,-517.685958333343,-5187.69933637083,4.8301094
24910.97125,-515.685958333343,-9774.15243637083,7.1880094
21365.97125,-510.685958333343,-15012.3439363708,9.4594094
13466.97125,-515.685958333343,-16758.3519363708,11.5006094
24082.97125,-506.685958333343,-9876.99033637083,13.1124094
31980.97125,-511.685958333343,-2559.23503637083,14.4044094
27964.97125,-504.685958333343,-3980.06943637083,15.6968094
24793.97125,-498.685958333343,-4293.13423637083,16.8914094
28728.97125,-501.685958333343,-4332.19223637083,17.8823094
26867.97125,-500.685958333343,-4477.61763637083,18.9786094
24367.97125,-495.685958333343,-4782.51713637083,20.1306094
27286.97125,-499.685958333343,-5645.01813637083,21.2029094
20724.97125,-494.685958333343,-7333.94163637083,22.3753094
21152.97125,-498.685958333343,-9452.57323637083,23.7510094
18340.97125,-491.685958333343,-9978.14103637083,25.1967094
21701.97125,-487.685958333343,-6779.41963637083,26.5379094
27078.97125,-487.685958333343,-5052.21803637083,28.0449094
23673.97125,-490.685958333343,-5189.52143637083,29.7404094
17658.97125,-480.685958333343,-7944.84993637083,31.0788094
23054.97125,-476.685958333343,-5973.90493637083,32.2369094
24302.97125,-478.685958333343,-2372.40783637083,33.2214094
25222.97125,-484.685958333343,-1869.23253637083,33.6236094
23216.97125,-476.685958333343,-1728.27623637083,33.7243094
27010.97125,-477.685958333343,-175.918936370833,33.7557094
25648.97125,-478.685958333343,-1311.83093637083,33.5030094
21942.97125,-480.685958333343,-3625.67963637083,32.9022094
18699.97125,-476.685958333343,-5462.91713637083,32.4122094
20343.97125,-479.685958333343,-5527.23753637083,31.7671094
19047.97125,-478.685958333343,-4613.19393637083,30.8464094
20996.97125,-482.685958333343,-3265.03763637083,30.3259094
22103.97125,-477.685958333343,-2505.41573637083,30.3590094
19939.97125,-473.685958333343,-2078.28613637083,30.5602094
22701.97125,-476.685958333343,-2066.90683637083,30.7970094
19422.97125,-485.685958333343,-3059.05173637083,31.3383094
19564.97125,-479.685958333343,-4954.47693637083,32.1633094
13221.97125,-473.685958333343,-7167.96423637083,32.7058094
15629.97125,-473.685958333343,-5231.55933637083,32.9036094
17686.97125,-465.685958333343,-1743.07143637083,33.0807094
25132.97125,-464.685958333343,-409.934536370833,33.2500094
14674.97125,-472.685958333343,-3063.65003637083,33.2697094
16828.97125,-472.685958333343,-6771.18683637083,33.1679094
11108.97125,-474.685958333343,-7489.11193637083,33.2127094
13240.97125,-475.685958333343,-6447.88683637083,33.3429094
14206.97125,-476.685958333343,-4787.68223637083,33.3992094
16436.97125,-466.685958333343,-5196.22073637083,33.5022094
10098.97125,-469.685958333343,-7202.55953637083,34.0418094
10853.97125,-464.685958333343,-9204.50713637083,34.8843094
9584.97125,-472.685958333343,-8904.71833637083,35.3654094
9523.97125,-459.685958333343,-8926.52003637083,35.5013094
9546.97125,-462.685958333343,-8193.65023637083,35.6248094
12337.97125,-463.685958333343,-5941.91443637083,35.5471094
13644.97125,-465.685958333343,-5491.04593637083,34.8924094
12781.97125,-467.685958333343,-6466.12793637083,33.8317094
5863.97125,-467.685958333343,-8331.15623637083,32.9958094
12111.97125,-470.685958333343,-6418.08233637083,32.3413094
12016.97125,-469.685958333343,-3391.65333637083,31.5694094
14978.97125,-469.685958333343,-1996.38143637083,30.9277094
14323.97125,-467.685958333343,-2957.50043637083,30.6535094
11034.97125,-467.685958333343,-3869.65793637083,30.5767094
13618.97125,-463.685958333343,-1361.79623637083,30.3340094
18405.97125,-470.685958333343,629.011463629167,30.0197094
14000.97125,-467.685958333343,1734.53086362917,29.7885094
17908.97125,-463.685958333343,392.548363629167,29.3669094
11754.97125,-464.685958333343,-1197.27223637083,28.5758094
12636.97125,-469.685958333343,-2193.03583637083,27.5901094
13465.97125,-471.685958333343,78.8727636291667,26.6668094
14859.97125,-474.685958333343,447.625863629167,25.5547094
9983.97125,-465.685958333343,-3877.62733637083,24.4364094
1315.97125,-470.685958333343,-10302.9414363708,23.4768094
-2961.02875,-474.685958333343,-14112.8689363708,22.4428094
4114.97125,-474.685958333343,-9139.80723637083,21.6441094
7020.97125,-470.685958333343,-9636.09793637083,21.2270094
-1783.02875,-471.685958333343,-12190.7277363708,21.0020094
-3080.02875,-471.685958333343,-14603.7382363708,20.7760094
-184.028749999998,-474.685958333343,-13611.3177363708,20.7085094
-1482.02875,-478.685958333343,-12590.3357363708,20.8390094
-3023.02875,-466.685958333343,-14782.6610363708,20.7948094
-5454.02875,-469.685958333343,-14605.6017363708,20.7999094
