"ECG","PPG","filteredecg","filteredppg"
266035.497625,-4429.68516666666,-17509.9993979625,247.848764504167
266035.497625,-4435.68516666666,-16926.7117979625,232.705864504167
266035.497625,-4447.68516666666,-16339.9797979625,218.449964504167
266035.497625,-4444.68516666666,-15749.8004979625,202.073064504167
266035.497625,-4465.68516666666,-15156.1261979625,184.477264504167
266035.497625,-4472.68516666666,-14558.9203979625,165.581964504167
266035.497625,-4477.68516666666,-13958.1467979625,154.224864504167
266035.497625,-4483.68516666666,-13353.7689979625,144.783964504167
266035.497625,-4479.68516666666,-12745.7505979625,132.782464504167
266035.497625,-4501.68516666666,-12134.0550979625,111.251164504167
266035.497625,-4513.68516666666,-11518.6460979625,88.6594645041667
266035.497625,-4527.68516666666,-10899.4872979625,74.8917645041667
266035.497625,-4521.68516666666,-10276.5420979625,69.7114645041667
266035.497625,-4523.68516666666,-9649.7742979625,65.4251645041667
266035.497625,-4524.68516666666,-9019.1473979625,50.8031645041667
266035.497625,-4546.68516666666,-8384.6248979625,38.1604645041667
266035.497625,-4540.68516666666,-7746.1704979625,25.4921645041667
266035.497625,-4550.68516666666,-7103.7476979625,11.7592645041667
266035.497625,-4570.68516666666,-6457.3201979625,-2.74423549583333
266035.497625,-4563.68516666666,-5806.8514979625,-18.0000354958333
266035.497625,-4590.68516666666,-5152.3051979625,-34.2046354958333
266035.497625,-4592.68516666666,-4493.6448979625,-43.6918354958333
266035.497625,-4590.68516666666,-3830.8340979625,-50.7579354958333
266035.497625,-4598.68516666666,-3163.8365979625,-60.5832354958333
266035.497625,-4610.68516666666,-2492.6157979625,-79.4553354958333
266035.497625,-4630.68516666666,-1817.1353979625,-96.9448354958333
266035.497625,-4627.68516666666,-1137.3588979625,-101.353935495833
266035.497625,-4624.68516666666,-453.2499979625,-110.097835495833
266035.497625,-4649.68516666666,235.2279020375,-118.542935495833
266035.497625,-4630.68516666666,928.1110020375,-125.917635495833
266035.497625,-4649.68516666666,1625.4359020375,-130.388935495833
266035.497625,-4641.68516666666,2327.2389020375,-135.002135495833
266035.497625,-4646.68516666666,3033.5564020375,-138.318635495833
266035.497625,-4655.68516666666,3744.4249020375,-150.703035495833
266035.497625,-4665.68516666666,4459.8807020375,-161.163235495833
266035.497625,-4662.68516666666,5179.9603020375,-158.818935495833
266035.497625,-4648.68516666666,5904.7001020375,-155.403935495833
266035.497625,-4659.68516666666,6634.1364020375,-151.117635495833
266035.497625,-4634.68516666666,7368.3058020375,-149.146035495833
266035.497625,-4653.68516666666,8107.2446020375,-155.308135495833
266035.497625,-4659.68516666666,8850.9892020375,-159.973135495833
266035.497625,-4635.68516666666,9599.5761020375,-151.520735495833
266035.497625,-4643.68516666666,10353.0416020375,-147.923935495833
266035.497625,-4636.68516666666,11111.4222020375,-145.894735495833
266035.497625,-4630.68516666666,11874.7543020375,-142.858135495833
266035.497625,-4637.68516666666,12643.0611020375,-143.754935495833
266035.497625,-4633.68516666666,13416.4418020375,-147.400435495833
266035.497625,-4641.68516666666,14195.0822020375,-147.731335495833
266035.497625,-4634.68516666666,14978.7102020375,-145.133335495833
266035.497625,-4627.68516666666,15767.1524020375,-137.268235495833
266035.497625,-4624.68516666666,16559.9082020375,-133.176135495833
266035.497625,-4624.68516666666,17356.5645020375,-129.583135495833
266035.497625,-4614.68516666666,18156.7084020375,-125.738135495833
266035.497625,-4619.68516666666,18959.9267020375,-122.245635495833
266035.497625,-4610.68516666666,19765.8065020375,-119.867935495833
266035.497625,-4618.68516666666,20573.9348020375,-116.978735495833
266035.497625,-4612.68516666666,21405.3935020375,-117.856435495833
266035.497625,-4620.68516666666,22216.9411020375,-114.952635495833
266035.497625,-4603.68516666666,22923.7620020375,-101.023635495833
265755.497625,-4586.68516666666,23480.6211020375,-89.1143354958333
266000.497625,-4591.68516666666,23895.1716020375,-79.8817354958333
263988.497625,-4583.68516666666,24360.5612020375,-74.2072354958333
