"ECG","PPG","filteredecg","filteredppg"
-164922.048833333,-961.496958333359,-41356.485781,-245.487149166667
-163013.048833333,-944.496958333359,-39949.624481,-221.633749166667
-164747.048833333,-909.496958333359,-36515.688081,-195.856449166667
-156247.048833333,-886.496958333359,-29710.818881,-178.551649166667
-151113.048833333,-883.496958333359,-23646.278581,-170.476749166667
-154081.048833333,-890.496958333359,-22883.275381,-172.029749166667
-154664.048833333,-873.496958333359,-25204.130381,-159.890749166667
-159127.048833333,-847.496958333359,-27721.662581,-145.138649166667
-163816.048833333,-863.496958333359,-26546.450381,-134.586349166667
-152270.048833333,-817.496958333359,-21648.021981,-107.287549166667
-155061.048833333,-795.496958333359,-18829.365481,-82.8683491666667
-163009.048833333,-798.496958333359,-25856.328181,-86.3181491666667
-168870.048833333,-809.496958333359,-26634.512181,-87.2507491666667
-163546.048833333,-788.496958333359,-25642.532081,-82.8722491666667
-166075.048833333,-786.496958333359,-25451.689281,-63.4637491666667
-172231.048833333,-747.496958333359,-27989.886481,-40.2643491666667
-174270.048833333,-733.496958333359,-27519.314281,-20.5917491666667
-159303.048833333,-733.496958333359,-18623.171181,-17.4996491666667
-159583.048833333,-722.496958333359,-13752.471881,-7.25654916666667
-158870.048833333,-700.496958333359,-10476.198181,2.80525083333333
-152499.048833333,-717.496958333359,-7599.986981,10.0050508333333
-157035.048833333,-681.496958333359,-5526.949381,27.9987508333333
-150218.048833333,-669.496958333359,-901.268181,51.4065508333333
-141109.048833333,-638.496958333359,11975.728119,72.8006508333333
-127593.048833333,-624.496958333359,19484.874119,88.7259508333333
-130497.048833333,-615.496958333359,22482.548519,99.8632508333333
-138083.048833333,-608.496958333359,19175.945619,107.770250833333
-131265.048833333,-598.496958333359,24420.569519,119.463350833333
-124607.048833333,-586.496958333359,31482.029219,132.971050833333
-123241.048833333,-565.496958333359,35103.002619,146.055550833333
-122426.048833333,-567.496958333359,37178.518319,153.106550833333
-122637.048833333,-556.496958333359,40008.572019,164.124650833333
-112678.048833333,-524.496958333359,45924.685919,193.541250833333
-114316.048833333,-502.496958333359,45938.891419,202.127150833333
-116206.048833333,-521.496958333359,43724.190519,198.099350833333
-126367.048833333,-540.496958333359,44647.883019,184.478450833333
-109523.048833333,-526.496958333359,48217.250619,190.359750833333
-116876.048833333,-517.496958333359,51187.792619,199.670550833333
-120521.048833333,-525.496958333359,48797.045919,199.057250833333
-114046.048833333,-518.496958333359,52355.772719,204.633350833333
-115462.048833333,-508.496958333359,56554.815819,207.005750833333
-110689.048833333,-531.496958333359,56650.056419,195.566350833333
-118645.048833333,-534.496958333359,54581.925119,197.065650833333
-117734.048833333,-516.496958333359,50056.891719,200.659050833333
-133610.048833333,-531.496958333359,43979.638319,197.449450833333
-131443.048833333,-539.496958333359,42087.710219,184.172750833333
-129829.048833333,-549.496958333359,44848.659319,181.759150833333
-135614.048833333,-541.496958333359,39789.861119,179.347750833333
-146109.048833333,-554.496958333359,32055.086319,171.868150833333
-153358.048833333,-581.496958333359,24110.231119,150.867550833333
-159972.048833333,-590.496958333359,21222.278619,141.447250833333
-157777.048833333,-591.496958333359,20455.143719,135.414850833333
-162042.048833333,-607.496958333359,20431.106719,127.608150833333
-162698.048833333,-611.496958333359,18720.784419,119.693150833333
-167102.048833333,-621.496958333359,17205.578919,110.918450833333
-166213.048833333,-636.496958333359,17371.230019,99.8081508333333
-168306.048833333,-643.496958333359,13590.423919,91.2261508333333
-177866.048833333,-656.496958333359,10116.369819,81.8913508333333
-175092.048833333,-665.496958333359,10025.834519,65.8253508333333
-170087.048833333,-691.496958333359,19519.015319,56.4904508333333
-154411.048833333,-683.496958333359,32702.980619,50.5811508333333
-143335.048833333,-691.496958333359,48297.163219,47.9942508333333
-136939.048833333,-705.496958333359,44769.663519,36.1068508333333
-167489.048833333,-713.496958333359,28083.103719,20.2948508333333
-190382.048833333,-747.496958333359,-2387.638981,5.81065083333333
-222455.048833333,-739.496958333359,-25097.609581,-4.27064916666667
-233370.048833333,-761.496958333359,-37823.843681,-12.6767491666667
-223859.048833333,-769.496958333359,-33031.044681,-26.1175491666667
-224258.048833333,-776.496958333359,-29996.404881,-28.8695491666667
-223291.048833333,-769.496958333359,-26407.214381,-29.3942491666667
-216385.048833333,-787.496958333359,-20952.125081,-29.9161491666667
-215675.048833333,-775.496958333359,-20937.591681,-34.2382491666667
-221487.048833333,-797.496958333359,-23908.882581,-41.9830491666667
-228153.048833333,-806.496958333359,-28590.830581,-57.9212491666667
-226894.048833333,-821.496958333359,-27249.665681,-67.8077491666667
-222198.048833333,-824.496958333359,-24679.091881,-75.0005491666667
-227401.048833333,-837.496958333359,-23658.863381,-77.5123491666667
-224645.048833333,-830.496958333359,-27077.771281,-82.8027491666667
-236577.048833333,-843.496958333359,-29773.296181,-88.6544491666667
-227892.048833333,-859.496958333359,-27802.543581,-92.9052491666667
-226382.048833333,-837.496958333359,-25703.483581,-90.5094491666667
-227903.048833333,-850.496958333359,-25566.538681,-93.4870491666667
-235219.048833333,-883.496958333359,-28858.717581,-113.941449166667
-232326.048833333,-883.496958333359,-27610.177081,-128.832649166667
-228822.048833333,-907.496958333359,-25206.104481,-139.202149166667
-232724.048833333,-908.496958333359,-23903.937581,-144.417849166667
-227448.048833333,-904.496958333359,-23727.107981,-142.132949166667
-232036.048833333,-909.496958333359,-24522.201881,-143.076549166667
-235654.048833333,-924.496958333359,-27273.732081,-158.712549166667
-232705.048833333,-947.496958333359,-25091.624581,-171.356349166667
-227597.048833333,-950.496958333359,-22911.566881,-178.228749166667
-237638.048833333,-940.496958333359,-24710.898781,-175.263049166667
-230146.048833333,-952.496958333359,-21743.771481,-174.411049166667
-223225.048833333,-943.496958333359,-13599.696981,-171.660049166667
-221711.048833333,-943.496958333359,-13902.074381,-175.201649166667
-227645.048833333,-959.496958333359,-16060.901981,-181.051149166667
-227387.048833333,-962.496958333359,-15315.679881,-183.205749166667
-219445.048833333,-956.496958333359,-10183.203081,-187.572849166667
-215636.048833333,-975.496958333359,-3928.039481,-188.905049166667
-212471.048833333,-959.496958333359,1227.951019,-181.682749166667
-204948.048833333,-946.496958333359,5739.322019,-170.773549166667
-207327.048833333,-946.496958333359,8322.212819,-161.662049166667
-203803.048833333,-939.496958333359,6284.308419,-160.903049166667
-213351.048833333,-944.496958333359,3944.972019,-154.441249166667
-213103.048833333,-927.496958333359,2769.192319,-144.835849166667
-205030.048833333,-915.496958333359,5183.219619,-132.733449166667
-214951.048833333,-913.496958333359,1922.438119,-121.668649166667
-214994.048833333,-895.496958333359,7.46001900000001,-113.442649166667
-208654.048833333,-899.496958333359,8733.905819,-113.455149166667
-199302.048833333,-903.496958333359,8879.232419,-102.934449166667
-217090.048833333,-867.496958333359,7440.541319,-90.0781491666667
-202401.048833333,-876.496958333359,8054.341219,-81.0566491666667
-207336.048833333,-867.496958333359,7629.953019,-74.9564491666667
-210289.048833333,-853.496958333359,6256.164719,-66.7483491666667
-211101.048833333,-850.496958333359,6968.606319,-51.7856491666667
-208328.048833333,-820.496958333359,5313.129819,-36.3180491666667
-216098.048833333,-817.496958333359,3880.777619,-23.4131491666667
-212125.048833333,-814.496958333359,4628.503019,-17.2768491666667
-209329.048833333,-799.496958333359,5882.374419,-15.1271491666667
-211957.048833333,-807.496958333359,6938.845119,-9.95584916666667
-209943.048833333,-793.496958333359,7063.608419,10.2818508333333
-208629.048833333,-746.496958333359,10147.728619,30.4911508333333
-202918.048833333,-761.496958333359,13194.818619,44.7230508333333
-205202.048833333,-751.496958333359,14215.942519,43.2732508333333
-203860.048833333,-749.496958333359,12000.033419,46.6374508333333
-205412.048833333,-751.496958333359,7586.346319,51.0392508333333
-223482.048833333,-739.496958333359,2613.098819,56.5806508333333
-206584.048833333,-740.496958333359,7524.650219,60.9691508333333
-207800.048833333,-733.496958333359,12628.361519,62.3245508333333
-208607.048833333,-747.496958333359,5356.222819,59.3261508333333
-223468.048833333,-740.496958333359,371.945519,64.6363508333333
-217599.048833333,-731.496958333359,-1685.186481,73.4236508333333
-213547.048833333,-721.496958333359,2975.386519,79.1857508333333
-213619.048833333,-726.496958333359,4326.923819,88.3335508333333
-210200.048833333,-711.496958333359,3476.770519,96.1117508333333
-219324.048833333,-701.496958333359,371.864119,96.8605508333333
-216369.048833333,-736.496958333359,-756.680881,85.1836508333333
-217506.048833333,-739.496958333359,-1249.903281,74.7260508333333
-218441.048833333,-720.496958333359,-3308.367381,78.1633508333333
-219695.048833333,-751.496958333359,-3929.335481,68.3010508333333
-216966.048833333,-751.496958333359,-3022.316981,59.9362508333333
-214640.048833333,-745.496958333359,810.748019,64.3349508333333
-208010.048833333,-741.496958333359,5168.131819,71.0753508333333
