"INDEX","ECG_R","PPG_F","PPG_S","PAT1","PAT2","PAT3","ECG_R_INT","ECG_R_FLAG","PPG_F_INT","PPG_F_FLAG","PPG_S_INT","PPG_S_FLAG","PAT1_FLAG","PAT2_FLAG"
3,256,287,324,155,185,340,NA,1,NA,1,NA,1,1,1
4,380,411,452,155,205,360,620,1,620,1,640,1,1,1
5,504,534,586,150,260,410,620,1,615,1,670,1,1,1
6,631,662,704,155,210,365,635,1,640,1,590,1,1,1
7,757,788,826,155,190,345,630,1,630,1,610,1,1,1
8,885,918,956,165,190,355,640,1,650,1,650,1,1,1
9,1013,1041,1097,140,280,420,640,1,615,1,705,1,0,0
10,1143,1176,1221,165,225,390,650,1,675,1,620,1,1,1
11,1276,1307,1369,155,310,465,665,1,655,1,740,0,1,0
12,1406,1436,1483,150,235,385,650,1,645,1,570,1,1,1
13,1534,1566,1610,160,220,380,640,1,650,1,635,1,1,1
14,1665,1696,1752,155,280,435,655,1,650,1,710,1,1,0
15,1795,1827,1873,160,230,390,650,1,655,1,605,1,1,1
16,1928,1960,2000,160,200,360,665,1,665,1,635,1,1,1
17,2059,2091,2131,160,200,360,655,1,655,1,655,1,1,1
18,2189,2221,2262,160,205,365,650,1,650,1,655,1,1,1
19,2322,2353,2397,155,220,375,665,1,660,1,675,1,1,1
20,2451,2483,2529,160,230,390,645,1,650,1,660,1,1,1
21,2578,2610,2655,160,225,385,635,1,635,1,630,1,1,1
22,2708,2740,2808,160,340,500,650,1,650,1,765,0,1,0
23,2839,2871,2922,160,255,415,655,1,655,1,570,1,1,1
24,2979,3011,3082,160,355,515,700,1,700,1,800,0,1,0
25,3113,3144,3195,155,255,410,670,1,665,1,565,1,1,1
26,3245,3277,3324,160,235,395,660,1,665,1,645,1,1,1
27,3384,3415,3461,155,230,385,695,1,690,1,685,1,1,1
28,3517,3547,3588,150,205,355,665,1,660,1,635,1,1,1
31,3909,3942,3984,165,210,375,1960,0,1975,0,1980,0,1,1
32,4039,4069,4108,150,195,345,650,1,635,1,620,1,1,1
33,4166,4198,4238,160,200,360,635,1,645,1,650,1,1,1
34,4295,4325,4367,150,210,360,645,1,635,1,645,1,1,1
35,4426,4458,4498,160,200,360,655,1,665,1,655,1,1,1
36,4559,4592,4634,165,210,375,665,1,670,1,680,1,1,1
37,4691,4721,4771,150,250,400,660,1,645,1,685,1,1,1
38,4823,4857,4897,170,200,370,660,1,680,1,630,1,0,1
39,4954,4986,5031,160,225,385,655,1,645,1,670,1,1,1
40,5081,5113,5156,160,215,375,635,1,635,1,625,1,1,1
41,5210,5242,5283,160,205,365,645,1,645,1,635,1,1,1
42,5343,5375,5416,160,205,365,665,1,665,1,665,1,1,1
43,5475,5506,5550,155,220,375,660,1,655,1,670,1,1,1
44,5608,5640,5693,160,265,425,665,1,670,1,715,1,1,0
45,5737,5769,5815,160,230,390,645,1,645,1,610,1,1,1
46,5868,5899,5941,155,210,365,655,1,650,1,630,1,1,1
47,6001,6031,6079,150,240,390,665,1,660,1,690,1,1,1
48,6139,6170,6227,155,285,440,690,1,695,1,740,0,1,0
49,6280,6312,6360,160,240,400,705,1,710,1,665,1,1,1
50,6418,6448,6495,150,235,385,690,1,680,1,675,1,1,1
51,6554,6586,6636,160,250,410,680,1,690,1,705,1,1,1
52,6688,6719,6759,155,200,355,670,1,665,1,615,1,1,1
53,6825,6857,6900,160,215,375,685,1,690,1,705,1,1,1
54,6959,6991,7041,160,250,410,670,1,670,1,705,1,1,1
55,7088,7120,7164,160,220,380,645,1,645,1,615,1,1,1
56,7215,7247,7293,160,230,390,635,1,635,1,645,1,1,1
57,7345,7376,7424,155,240,395,650,1,645,1,655,1,1,1
58,7474,7506,7551,160,225,385,645,1,650,1,635,1,1,1
59,7607,7640,7694,165,270,435,665,1,670,1,715,1,1,0
60,7737,7768,7815,155,235,390,650,1,640,1,605,1,1,1
61,7865,7896,7938,155,210,365,640,1,640,1,615,1,1,1
62,7992,8024,8066,160,210,370,635,1,640,1,640,1,1,1
63,8120,8151,8193,155,210,365,640,1,635,1,635,1,1,1
64,8247,8280,8318,165,190,355,635,1,645,1,625,1,1,1
65,8371,8402,8448,155,230,385,620,1,610,1,650,1,1,1
66,8496,8526,8566,150,200,350,625,1,620,1,590,1,1,1
67,8623,8654,8696,155,210,365,635,1,640,1,650,1,1,1
68,8751,8783,8829,160,230,390,640,1,645,1,665,1,1,1
69,8880,8912,8952,160,200,360,645,1,645,1,615,1,1,1
70,9013,9044,9089,155,225,380,665,1,660,1,685,1,1,1
71,9147,9179,9229,160,250,410,670,1,675,1,700,1,1,1
72,9285,9317,9370,160,265,425,690,1,690,1,705,1,1,0
73,9424,9455,9491,155,180,335,695,1,690,1,605,1,1,1
74,9554,9586,9634,160,240,400,650,1,655,1,715,1,1,1
75,9683,9716,9758,165,210,375,645,1,650,1,620,1,1,1
76,9811,9844,9891,165,235,400,640,1,640,1,665,1,1,1
77,9938,9970,10012,160,210,370,635,1,630,1,605,1,1,1
78,10061,10092,10138,155,230,385,615,1,610,1,630,1,1,1
79,10180,10211,10254,155,215,370,595,1,595,1,580,1,1,1
80,10301,10332,10392,155,300,455,605,1,605,1,690,1,1,0
81,10428,10459,10505,155,230,385,635,1,635,1,565,1,1,1
82,10561,10592,10633,155,205,360,665,1,665,1,640,1,1,1
83,10692,10723,10768,155,225,380,655,1,655,1,675,1,1,1
84,10815,10846,10890,155,220,375,615,1,615,1,610,1,1,1
85,10931,10963,11005,160,210,370,580,1,585,1,575,1,1,1
86,11046,11078,11119,160,205,365,575,1,575,1,570,1,1,1
87,11155,11187,11220,160,165,325,545,1,545,1,505,0,1,1
