"INDEX","ECG_R","PPG_F","PPG_S","PAT1","PAT2","ECG_R_INT","ECG_R_FLAG","PPG_F_INT","PPG_F_FLAG","PPG_S_INT","PPG_S_FLAG"
1,59,96,145,185,245,NA,1,NA,1,NA,1
2,225,262,306,185,220,830,1,830,1,805,1
3,399,439,478,200,195,870,1,885,1,860,1
4,575,612,657,185,225,880,1,865,1,895,1
5,742,781,822,195,205,835,1,845,1,825,1
6,917,956,994,195,190,875,1,875,1,860,1
7,1096,1134,1174,190,200,895,1,890,1,900,1
8,1277,1314,1364,185,250,905,1,900,1,950,1
9,1444,1483,1528,195,225,835,1,845,1,820,1
10,1620,1656,1700,180,220,880,1,865,1,860,1
11,1797,1834,1887,185,265,885,1,890,1,935,1
12,1965,2001,2036,180,175,840,1,835,1,745,1
13,2140,2177,2224,185,235,875,1,880,1,940,1
14,2322,2362,2403,200,205,910,1,925,1,895,1
15,2499,2539,2588,200,245,885,1,885,1,925,1
16,2669,2706,2755,185,245,850,1,835,1,835,1
17,2849,2887,2928,190,205,900,1,905,1,865,1
18,3027,3068,3105,205,185,890,1,905,1,885,1
19,3186,3223,3314,185,455,795,1,775,1,1045,1
20,3356,3395,3437,195,210,850,1,860,1,615,1
21,3530,3566,3611,180,225,870,1,855,1,870,1
22,3694,3730,3779,180,245,820,1,820,1,840,1
23,3868,3905,3955,185,250,870,1,875,1,880,1
24,4048,4086,4143,190,285,900,1,905,1,940,1
25,4225,4261,4310,180,245,885,1,875,1,835,1
26,4389,4427,4472,190,225,820,1,830,1,810,1
27,4564,4603,4647,195,220,875,1,880,1,875,1
28,4741,4778,4851,185,365,885,1,875,1,1020,1
29,4904,4943,4984,195,205,815,1,825,1,665,1
30,5073,5111,5165,190,270,845,1,840,1,905,1
31,5244,5281,5320,185,195,855,1,850,1,775,1
32,5411,5447,5497,180,250,835,1,830,1,885,1
33,5565,5600,5644,175,220,770,1,765,1,735,1
34,5711,5747,5793,180,230,730,1,735,1,745,1
35,5854,5889,5981,175,460,715,0,710,0,940,1
36,6009,6042,6124,165,410,775,1,765,1,715,1
37,6162,6201,6250,195,245,765,1,795,1,630,1
38,6325,6358,6400,165,210,815,1,785,1,750,1
39,6499,6538,6584,195,230,870,1,900,1,920,1
40,6668,6703,6767,175,320,845,1,825,1,915,1
41,6826,6863,6905,185,210,790,1,800,1,690,1
42,6992,7029,7114,185,425,830,1,830,1,1045,1
43,7160,7198,7234,190,180,840,1,845,1,600,1
44,7315,7350,7434,175,420,775,1,760,1,1000,1
45,7473,7509,7557,180,240,790,1,795,1,615,1
46,7637,7674,7756,185,410,820,1,825,1,995,1
47,7801,7838,7884,185,230,820,1,820,1,640,1
48,7961,7998,8045,185,235,800,1,800,1,805,1
49,8133,8170,8210,185,200,860,1,860,1,825,1
50,8308,8343,8413,175,350,875,1,865,1,1015,1
51,8470,8508,8552,190,220,810,1,825,1,695,1
52,8633,8671,8722,190,255,815,1,815,1,850,1
53,8803,8841,8878,190,185,850,1,850,1,780,1
54,8971,9009,9054,190,225,840,1,840,1,880,1
55,9127,9164,9205,185,205,780,1,775,1,755,1
56,9289,9324,9376,175,260,810,1,800,1,855,1
57,9441,9478,9528,185,250,760,1,770,1,760,1
58,9584,9622,9669,190,235,715,0,720,0,705,1
59,9725,9762,9807,185,225,705,0,700,0,690,1
60,9885,9922,9964,185,210,800,1,800,1,785,1
61,10059,10096,10140,185,220,870,1,870,1,880,1
62,10227,10261,10332,170,355,840,1,825,1,960,1
63,10400,10437,10478,185,205,865,1,880,1,730,1
64,10577,10615,10652,190,185,885,1,890,1,870,1
65,10748,10785,10832,185,235,855,1,850,1,900,1
