"INDEX","ECG_R","PPG_F","PPG_S","PAT1","PAT2","PAT3","ECG_R_INT","ECG_R_FLAG","PPG_F_INT","PPG_F_FLAG","PPG_S_INT","PPG_S_FLAG","PAT1_FLAG","PAT2_FLAG"
2,126,164,235,190,355,545,NA,1,NA,1,NA,1,1,1
4,310,348,430,190,410,600,920,1,920,1,975,1,1,1
6,487,527,599,200,360,560,885,1,895,1,845,1,1,1
8,670,706,787,180,405,585,915,1,895,1,940,1,1,1
10,852,890,953,190,315,505,910,1,920,1,830,1,1,1
12,1026,1063,1138,185,375,560,870,1,865,1,925,1,1,1
14,1210,1250,1317,200,335,535,920,1,935,1,895,1,1,1
16,1385,1425,1483,200,290,490,875,1,875,1,830,1,1,1
18,1558,1596,1662,190,330,520,865,1,855,1,895,1,1,1
20,1739,1779,1841,200,310,510,905,1,915,1,895,1,1,1
22,1910,1952,2030,210,390,600,855,1,865,1,945,1,1,1
24,2084,2124,2196,200,360,560,870,1,860,1,830,1,1,1
26,2268,2312,2383,220,355,575,920,1,940,1,935,1,0,1
28,2443,2483,2555,200,360,560,875,1,855,1,860,1,1,1
30,2620,2658,2728,190,350,540,885,1,875,1,865,1,1,1
32,2805,2844,2920,195,380,575,925,1,930,1,960,1,1,1
34,2983,3023,3088,200,325,525,890,1,895,1,840,1,1,1
36,3159,3198,3274,195,380,575,880,1,875,1,930,1,1,1
38,3341,3383,3444,210,305,515,910,1,925,1,850,1,1,1
40,3515,3555,3610,200,275,475,870,1,860,1,830,1,1,1
42,3687,3725,3786,190,305,495,860,1,850,1,880,1,1,1
44,3867,3909,3976,210,335,545,900,1,920,1,950,1,1,1
46,4040,4081,4149,205,340,545,865,1,860,1,865,1,1,1
48,4210,4247,4306,185,295,480,850,1,830,1,785,1,1,1
50,4386,4428,4503,210,375,585,880,1,905,1,985,1,1,1
52,4554,4593,4658,195,325,520,840,1,825,1,775,1,1,1
54,4723,4762,4840,195,390,585,845,1,845,1,910,1,1,1
56,4902,4942,5020,200,390,590,895,1,900,1,900,1,1,1
58,5071,5109,5160,190,255,445,845,1,835,1,700,1,1,1
60,5240,5278,5339,190,305,495,845,1,845,1,895,1,1,1
62,5416,5455,5519,195,320,515,880,1,885,1,900,1,1,1
64,5590,5628,5699,190,355,545,870,1,865,1,900,1,1,1
66,5758,5796,5872,190,380,570,840,1,840,1,865,1,1,1
68,5936,5975,6068,195,465,660,890,1,895,1,980,1,1,0
70,6111,6149,6222,190,365,555,875,1,870,1,770,1,1,1
72,6276,6312,6376,180,320,500,825,1,815,1,770,1,1,1
74,6447,6484,6560,185,380,565,855,1,860,1,920,1,1,1
76,6615,6655,6719,200,320,520,840,1,855,1,795,1,1,1
78,6779,6813,6890,170,385,555,820,1,790,1,855,1,1,1
80,6953,6990,7065,185,375,560,870,1,885,1,875,1,1,1
82,7120,7160,7228,200,340,540,835,1,850,1,815,1,1,1
84,7294,7331,7393,185,310,495,870,1,855,1,825,1,1,1
86,7467,7504,7574,185,350,535,865,1,865,1,905,1,1,1
87,7632,7670,7732,190,310,500,825,1,830,1,790,1,1,1
89,7800,7835,7903,175,340,515,840,1,825,1,855,1,1,1
91,7967,8005,8078,190,365,555,835,1,850,1,875,1,1,1
93,8131,8168,8234,185,330,515,820,1,815,1,780,1,1,1
95,8298,8336,8409,190,365,555,835,1,840,1,875,1,1,1
96,8459,8495,8550,180,275,455,805,1,795,1,705,1,1,1
97,8616,8655,8717,195,310,505,785,1,800,1,835,1,1,1
98,8778,8819,8893,205,370,575,810,1,820,1,880,1,1,1
100,8950,8984,9070,170,430,600,860,1,825,1,885,1,1,1
102,9115,9155,9232,200,385,585,825,1,855,1,810,1,1,1
103,9275,9312,9393,185,405,590,800,1,785,1,805,1,1,1
105,9456,9496,9561,200,325,525,905,1,920,1,840,1,1,1
106,9618,9657,9732,195,375,570,810,1,805,1,855,1,1,1
107,9776,9815,9888,195,365,560,790,1,790,1,780,1,1,1
