"INDEX","ECG_R","PPG_F","PPG_S","PAT1","PAT2","PAT3","ECG_R_INT","ECG_R_FLAG","PPG_F_INT","PPG_F_FLAG","PPG_S_INT","PPG_S_FLAG","PAT1_FLAG","PAT2_FLAG"
2,123,155,198,160,215,375,NA,1,NA,1,NA,1,1,1
3,268,300,347,160,235,395,725,1,725,1,745,1,1,1
4,407,438,484,155,230,385,695,1,690,1,685,1,1,1
5,535,566,610,155,220,375,640,1,640,1,630,1,1,1
10,1103,1134,1182,155,240,395,2840,0,2840,0,2860,0,1,1
11,1243,1274,1319,155,225,380,700,1,700,1,685,1,1,1
12,1368,1399,1443,155,220,375,625,1,625,1,620,1,1,1
17,1862,1893,1936,155,215,370,2470,0,2470,0,2465,0,1,1
18,1974,2005,2046,155,205,360,560,1,560,1,550,1,1,1
19,2095,2124,2170,145,230,375,605,1,595,1,620,1,0,1
22,2397,2430,2469,165,195,360,1510,0,1530,0,1495,0,1,1
23,2524,2556,2596,160,200,360,635,1,630,1,635,1,1,1
24,2661,2691,2737,150,230,380,685,1,675,1,705,1,1,1
25,2795,2825,2869,150,220,370,670,1,670,1,660,1,1,1
26,2918,2949,2990,155,205,360,615,1,620,1,605,1,1,1
27,3047,3080,3115,165,175,340,645,1,655,1,625,1,1,1
28,3173,3208,3239,175,155,330,630,1,640,1,620,1,0,1
29,3291,3324,3361,165,185,350,590,1,580,1,610,1,1,1
30,3448,3480,3525,160,225,385,785,1,780,1,820,1,1,1
31,3584,3615,3659,155,220,375,680,1,675,1,670,1,1,1
32,3720,3750,3795,150,225,375,680,1,675,1,680,1,1,1
33,3862,3893,3935,155,210,365,710,1,715,1,700,1,1,1
34,4002,4037,4075,175,190,365,700,1,720,1,700,1,0,1
35,4149,4181,4220,160,195,355,735,1,720,1,725,1,1,1
36,4298,4328,4376,150,240,390,745,1,735,1,780,1,1,1
37,4446,4476,4524,150,240,390,740,1,740,1,740,1,1,1
38,4595,4626,4671,155,225,380,745,1,750,1,735,1,1,1
39,4722,4755,4792,165,185,350,635,1,645,1,605,1,1,1
40,4855,4887,4925,160,190,350,665,1,660,1,665,1,1,1
41,4994,5028,5064,170,180,350,695,1,705,1,695,1,0,1
42,5100,5136,5165,180,145,325,530,1,540,1,505,1,0,1
43,5224,5254,5296,150,210,360,620,1,590,1,655,1,1,1
44,5342,5371,5416,145,225,370,590,1,585,1,600,1,0,1
45,5502,5531,5579,145,240,385,800,1,800,1,815,1,0,1
47,5674,5704,5753,150,245,395,860,1,865,1,870,1,1,1
48,5823,5857,5893,170,180,350,745,1,765,1,700,1,0,1
49,5951,5985,6023,170,190,360,640,1,640,1,650,1,0,1
50,6080,6112,6152,160,200,360,645,1,635,1,645,1,1,1
51,6215,6246,6293,155,235,390,675,1,670,1,705,1,1,1
52,6358,6387,6435,145,240,385,715,1,705,1,710,1,0,1
53,6497,6528,6573,155,225,380,695,1,705,1,690,1,1,1
54,6645,6676,6719,155,215,370,740,1,740,1,730,1,1,1
