"INDEX","ECG_R","PPG_F","PPG_S","PAT1","PAT2","ECG_R_INT","ECG_R_FLAG","PPG_F_INT","PPG_F_FLAG","PPG_S_INT","PPG_S_FLAG"
1,6,36,48,150,60,NA,1,NA,1,NA,1
2,120,142,196,110,270,570,0,530,0,740,1
3,267,320,350,265,150,735,1,890,0,770,1
4,418,469,492,255,115,755,1,745,1,710,1
5,566,622,659,280,185,740,1,765,1,835,1
6,716,770,809,270,195,750,1,740,1,750,1
7,866,921,947,275,130,750,1,755,1,690,1
8,1017,1070,1095,265,125,755,1,745,1,740,1
9,1167,1220,1260,265,200,750,1,750,1,825,1
10,1316,1372,1439,280,335,745,1,760,1,895,1
11,1465,1515,1565,250,250,745,1,715,1,630,1
12,1615,1669,1699,270,150,750,1,770,1,670,1
13,1764,1822,1838,290,80,745,1,765,1,695,1
14,1915,1969,1993,270,120,755,1,735,1,775,1
15,2068,2121,2173,265,260,765,1,760,1,900,1
16,2221,2279,2314,290,175,765,1,790,1,705,1
17,2375,2426,2466,255,200,770,1,735,1,760,1
18,2528,2576,2622,240,230,765,1,750,1,780,1
19,2683,2736,2764,265,140,775,1,800,1,710,1
20,2835,2886,2925,255,195,760,1,750,1,805,1
21,2991,3039,3063,240,120,780,1,765,1,690,1
22,3144,3194,3229,250,175,765,1,775,1,830,1
24,3445,3355,3522,-450,835,1505,0,805,1,1465,0
25,3596,3492,3673,-520,905,755,1,685,1,755,1
26,3748,3651,3846,-485,975,760,1,795,1,865,1
27,3900,3803,3971,-485,840,760,1,760,1,625,1
28,4054,3948,4134,-530,930,770,1,725,1,815,1
29,4209,4107,4277,-510,850,775,1,795,1,715,1
30,4362,4263,4442,-495,895,765,1,780,1,825,1
31,4512,4453,4542,-295,445,750,1,950,0,500,1
32,4662,4567,4741,-475,870,750,1,570,1,995,0
33,4786,4718,4927,-340,1045,620,0,755,1,930,1
34,4967,4841,5052,-630,1055,905,0,615,1,625,1
35,5119,5017,5156,-510,695,760,1,880,1,520,1
36,5268,5177,5265,-455,440,745,1,800,1,545,1
37,5415,5324,5378,-455,270,735,1,735,1,565,1
38,5564,5509,5497,-275,-60,745,1,925,0,595,1
39,5710,5619,5652,-455,165,730,1,550,0,775,1
40,5859,5763,5786,-480,115,745,1,720,1,670,1
41,6001,5948,5980,-265,160,710,1,925,0,970,0
42,6145,6058,6081,-435,115,720,1,550,0,505,1
43,6289,6201,6221,-440,100,720,1,715,1,700,1
44,6433,6338,6378,-475,200,720,1,685,1,785,1
45,6576,6492,6513,-420,105,715,1,770,1,675,1
46,6717,6625,6669,-460,220,705,1,665,1,780,1
47,6857,6725,6805,-660,400,700,1,500,0,680,1
48,6998,6861,6927,-685,330,705,1,680,1,610,1
49,7138,7058,7084,-400,130,700,1,985,0,785,1
50,7280,7192,7245,-440,265,710,1,670,1,805,1
51,7423,7328,7358,-475,150,715,1,680,1,565,1
52,7567,7478,7520,-445,210,720,1,750,1,810,1
53,7712,7622,7656,-450,170,725,1,720,1,680,1
54,7855,7765,7809,-450,220,715,1,715,1,765,1
55,7999,7904,7931,-475,135,720,1,695,1,610,1
56,8146,8053,8078,-465,125,735,1,745,1,735,1
57,8292,8196,8227,-480,155,730,1,715,1,745,1
58,8438,8342,8367,-480,125,730,1,730,1,700,1
59,8583,8487,8514,-480,135,725,1,725,1,735,1
60,8726,8642,8657,-420,75,715,1,775,1,715,1
61,8871,8774,8807,-485,165,725,1,660,1,750,1
62,9018,8922,8953,-480,155,735,1,740,1,730,1
63,9164,9070,9094,-470,120,730,1,740,1,705,1
64,9308,9220,9246,-440,130,720,1,750,1,760,1
65,9453,9357,9408,-480,255,725,1,685,1,810,1
66,9598,9510,9531,-440,105,725,1,765,1,615,1
67,9743,9648,9675,-475,135,725,1,690,1,720,1
68,9890,9793,9819,-485,130,735,1,725,1,720,1
69,10035,9943,9971,-460,140,725,1,750,1,760,1
70,10178,10088,10141,-450,265,715,1,725,1,850,1
71,10324,10236,10248,-440,60,730,1,740,1,535,1
72,10470,10377,10416,-465,195,730,1,705,1,840,1
73,10618,10521,10556,-485,175,740,1,720,1,700,1
74,10766,10672,10705,-470,165,740,1,755,1,745,1
75,10913,10808,10846,-525,190,735,1,680,1,705,1
76,11061,10964,10993,-485,145,740,1,780,1,735,1
77,11210,11110,11133,-500,115,745,1,730,1,700,1
78,11356,11264,11299,-460,175,730,1,770,1,830,1
79,11502,11410,11453,-460,215,730,1,730,1,770,1
80,11649,11554,11582,-475,140,735,1,720,1,645,1
81,11796,11703,11740,-465,185,735,1,745,1,790,1
82,11943,11849,11881,-470,160,735,1,730,1,705,1
83,12094,11996,12024,-490,140,755,1,735,1,715,1
84,12241,12145,12168,-480,115,735,1,745,1,720,1
85,12388,12307,12356,-405,245,735,1,810,1,940,1
86,12535,12443,12465,-460,110,735,1,680,1,545,1
87,12684,12590,12627,-470,185,745,1,735,1,810,1
88,12835,12732,12760,-515,140,755,1,710,1,665,1
89,12984,12885,12912,-495,135,745,1,765,1,760,1
90,13131,13004,13056,-635,260,735,1,595,1,720,1
91,13279,13175,13158,-520,-85,740,1,855,1,510,1
92,13428,13322,13264,-530,-290,745,1,735,1,530,1
93,13577,13483,13391,-470,-460,745,1,805,1,635,1
94,13704,13624,13526,-400,-490,635,0,705,1,675,1
95,13869,13759,13659,-550,-500,825,0,675,1,665,1
96,14016,13922,13797,-470,-625,735,1,815,1,690,1
97,14117,14078,13949,-195,-645,505,0,780,1,760,1
98,14318,14190,14125,-640,-325,1005,0,560,1,880,1
99,14471,14368,14259,-515,-545,765,1,890,0,670,1
100,14584,14475,14394,-545,-405,565,0,535,0,675,1
101,14767,14608,14562,-795,-230,915,0,665,1,840,1
102,14917,14812,14761,-525,-255,750,1,1020,0,995,0
103,15067,14914,14870,-765,-220,750,1,510,0,545,1
104,15216,15016,14997,-1000,-95,745,1,510,0,635,1
105,15364,15124,15161,-1200,185,740,1,540,0,820,1
106,15508,15305,15281,-1015,-120,720,1,905,0,600,1
107,15653,15439,15390,-1070,-245,725,1,670,1,545,1
108,15800,15572,15534,-1140,-190,735,1,665,1,720,1
109,15946,15737,15649,-1045,-440,730,1,825,1,575,1
110,16090,15844,15771,-1230,-365,720,1,535,0,610,1
111,16234,15971,15889,-1315,-410,720,1,635,1,590,1
112,16381,16077,16024,-1520,-265,735,1,530,0,675,1
113,16527,16181,16125,-1730,-280,730,1,520,0,505,1
114,16670,16291,16243,-1895,-240,715,1,550,0,590,1
115,16814,16432,16363,-1910,-345,720,1,705,1,600,1
116,16958,16577,16467,-1905,-550,720,1,725,1,520,1
117,17103,16744,16601,-1795,-715,725,1,835,1,670,1
118,17243,16856,16791,-1935,-325,700,1,560,1,950,0
119,17393,17008,16896,-1925,-560,750,1,760,1,525,1
120,17538,17157,17045,-1905,-560,725,1,745,1,745,1
121,17681,17260,17182,-2105,-390,715,1,515,0,685,1
122,17825,17424,17336,-2005,-440,720,1,820,1,770,1
123,17967,17550,17465,-2085,-425,710,1,630,1,645,1
124,18110,17740,17654,-1850,-430,715,1,950,0,945,1
125,18251,17875,17799,-1880,-380,705,1,675,1,725,1
