"INDEX","ECG_R","PPG_F","PPG_S","PAT1","PAT2","PAT3","ECG_R_INT","ECG_R_FLAG","PPG_F_INT","PPG_F_FLAG","PPG_S_INT","PPG_S_FLAG","PAT1_FLAG","PAT2_FLAG"
2,123,155,221,160,330,490,NA,1,NA,1,NA,1,1,1
4,304,337,413,165,380,545,905,1,910,1,960,1,1,0
6,488,521,593,165,360,525,920,1,920,1,900,1,1,0
8,672,704,769,160,325,485,920,1,915,1,880,1,1,1
10,851,883,945,160,310,470,895,1,895,1,880,1,1,1
12,1033,1065,1132,160,335,495,910,1,910,1,935,1,1,1
14,1219,1250,1314,155,320,475,930,1,925,1,910,1,1,1
16,1402,1434,1496,160,310,470,915,1,920,1,910,1,1,1
18,1586,1618,1687,160,345,505,920,1,920,1,955,1,1,1
20,1772,1804,1868,160,320,480,930,1,930,1,905,1,1,1
22,1954,1986,2047,160,305,465,910,1,910,1,895,1,1,1
24,2135,2167,2232,160,325,485,905,1,905,1,925,1,1,1
26,2323,2353,2425,150,360,510,940,1,930,1,965,1,0,0
28,2501,2534,2604,165,350,515,890,1,905,1,895,1,1,1
30,2680,2712,2776,160,320,480,895,1,890,1,860,1,1,1
32,2863,2895,2963,160,340,500,915,1,915,1,935,1,1,1
34,3045,3078,3139,165,305,470,910,1,915,1,880,1,1,1
36,3222,3255,3316,165,305,470,885,1,885,1,885,1,1,1
38,3403,3434,3500,155,330,485,905,1,895,1,920,1,1,1
40,3588,3621,3681,165,300,465,925,1,935,1,905,1,1,1
42,3767,3797,3863,150,330,480,895,1,880,1,910,1,0,1
44,3949,3980,4049,155,345,500,910,1,915,1,930,1,1,1
46,4134,4164,4226,150,310,460,925,1,920,1,885,1,0,1
48,4310,4341,4403,155,310,465,880,1,885,1,885,1,1,1
50,4491,4523,4586,160,315,475,905,1,910,1,915,1,1,1
52,4671,4703,4765,160,310,470,900,1,900,1,895,1,1,1
54,4846,4877,4941,155,320,475,875,1,870,1,880,1,1,1
56,5027,5059,5126,160,335,495,905,1,910,1,925,1,1,1
58,5210,5242,5304,160,310,470,915,1,915,1,890,1,1,1
60,5390,5423,5483,165,300,465,900,1,905,1,895,1,1,1
62,5571,5603,5665,160,310,470,905,1,900,1,910,1,1,1
64,5754,5786,5850,160,320,480,915,1,915,1,925,1,1,1
66,5931,5966,6029,175,315,490,885,1,900,1,895,1,0,1
68,6114,6146,6213,160,335,495,915,1,900,1,920,1,1,1
70,6296,6328,6393,160,325,485,910,1,910,1,900,1,1,1
72,6477,6509,6585,160,380,540,905,1,905,1,960,1,1,0
74,6662,6693,6759,155,330,485,925,1,920,1,870,1,1,1
76,6847,6880,6950,165,350,515,925,1,935,1,955,1,1,1
78,7027,7060,7124,165,320,485,900,1,900,1,870,1,1,1
80,7207,7239,7305,160,330,490,900,1,895,1,905,1,1,1
82,7390,7422,7486,160,320,480,915,1,915,1,905,1,1,1
84,7573,7606,7670,165,320,485,915,1,920,1,920,1,1,1
86,7753,7786,7848,165,310,475,900,1,900,1,890,1,1,1
88,7942,7974,8037,160,315,475,945,1,940,1,945,1,1,1
90,8125,8158,8220,165,310,475,915,1,920,1,915,1,1,1
92,8304,8336,8410,160,370,530,895,1,890,1,950,1,1,0
94,8489,8522,8591,165,345,510,925,1,930,1,905,1,1,1
96,8673,8706,8770,165,320,485,920,1,920,1,895,1,1,1
98,8854,8887,8952,165,325,490,905,1,905,1,910,1,1,1
100,9040,9071,9142,155,355,510,930,1,920,1,950,1,1,1
102,9227,9259,9322,160,315,475,935,1,940,1,900,1,1,1
104,9408,9440,9503,160,315,475,905,1,905,1,905,1,1,1
106,9595,9626,9691,155,325,480,935,1,930,1,940,1,1,1
108,9782,9814,9878,160,320,480,935,1,940,1,935,1,1,1
110,9965,9998,10061,165,315,480,915,1,920,1,915,1,1,1
112,10152,10184,10250,160,330,490,935,1,930,1,945,1,1,1
114,10338,10370,10429,160,295,455,930,1,930,1,895,1,1,1
116,10520,10551,10618,155,335,490,910,1,905,1,945,1,1,1
118,10709,10740,10804,155,320,475,945,1,945,1,930,1,1,1
120,10898,10931,10992,165,305,470,945,1,955,1,940,1,1,1
122,11081,11113,11178,160,325,485,915,1,910,1,930,1,1,1
124,11269,11302,11365,165,315,480,940,1,945,1,935,1,1,1
126,11459,11491,11554,160,315,475,950,1,945,1,945,1,1,1
128,11643,11675,11738,160,315,475,920,1,920,1,920,1,1,1
130,11834,11866,11927,160,305,465,955,1,955,1,945,1,1,1
132,12025,12058,12130,165,360,525,955,1,960,1,1015,0,1,0
134,12211,12244,12307,165,315,480,930,1,930,1,885,1,1,1
136,12400,12433,12497,165,320,485,945,1,945,1,950,1,1,1
138,12590,12622,12690,160,340,500,950,1,945,1,965,1,1,1
140,12776,12809,12872,165,315,480,930,1,935,1,910,1,1,1
142,12962,12994,13062,160,340,500,930,1,925,1,950,1,1,1
144,13149,13182,13245,165,315,480,935,1,940,1,915,1,1,1
146,13338,13372,13431,170,295,465,945,1,950,1,930,1,1,1
148,13524,13557,13621,165,320,485,930,1,925,1,950,1,1,1
150,13714,13746,13809,160,315,475,950,1,945,1,940,1,1,1
152,13904,13937,14000,165,315,480,950,1,955,1,955,1,1,1
154,14090,14124,14192,170,340,510,930,1,935,1,960,1,1,1
156,14279,14312,14377,165,325,490,945,1,940,1,925,1,1,1
158,14468,14502,14566,170,320,490,945,1,950,1,945,1,1,1
160,14655,14689,14753,170,320,490,935,1,935,1,935,1,1,1
162,14841,14875,14943,170,340,510,930,1,930,1,950,1,1,1
164,15030,15062,15125,160,315,475,945,1,935,1,910,1,1,1
166,15216,15249,15313,165,320,485,930,1,935,1,940,1,1,1
168,15400,15433,15497,165,320,485,920,1,920,1,920,1,1,1
170,15588,15621,15684,165,315,480,940,1,940,1,935,1,1,1
172,15777,15809,15880,160,355,515,945,1,940,1,980,1,1,1
174,15962,15994,16060,160,330,490,925,1,925,1,900,1,1,1
176,16152,16185,16255,165,350,515,950,1,955,1,975,1,1,1
178,16342,16375,16437,165,310,475,950,1,950,1,910,1,1,1
180,16526,16559,16621,165,310,475,920,1,920,1,920,1,1,1
182,16713,16746,16807,165,305,470,935,1,935,1,930,1,1,1
184,16900,16934,16997,170,315,485,935,1,940,1,950,1,1,1
186,17085,17118,17182,165,320,485,925,1,920,1,925,1,1,1
188,17274,17306,17371,160,325,485,945,1,940,1,945,1,1,1
190,17462,17496,17557,170,305,475,940,1,950,1,930,1,1,1
192,17645,17678,17744,165,330,495,915,1,910,1,935,1,1,1
194,17832,17866,17945,170,395,565,935,1,940,1,1005,0,1,0
196,18020,18052,18119,160,335,495,940,1,930,1,870,1,1,1
198,18201,18235,18297,170,310,480,905,1,915,1,890,1,1,1
200,18387,18420,18482,165,310,475,930,1,925,1,925,1,1,1
202,18574,18607,18670,165,315,480,935,1,935,1,940,1,1,1
204,18757,18790,18853,165,315,480,915,1,915,1,915,1,1,1
206,18944,18977,19039,165,310,475,935,1,935,1,930,1,1,1
208,19129,19162,19223,165,305,470,925,1,925,1,920,1,1,1
210,19312,19345,19408,165,315,480,915,1,915,1,925,1,1,1
212,19496,19530,19592,170,310,480,920,1,925,1,920,1,1,1
214,19676,19709,19771,165,310,475,900,1,895,1,895,1,1,1
216,19857,19889,19950,160,305,465,905,1,900,1,895,1,1,1
218,20042,20074,20135,160,305,465,925,1,925,1,925,1,1,1
220,20227,20260,20322,165,310,475,925,1,930,1,935,1,1,1
222,20412,20444,20507,160,315,475,925,1,920,1,925,1,1,1
224,20599,20632,20693,165,305,470,935,1,940,1,930,1,1,1
226,20782,20815,20878,165,315,480,915,1,915,1,925,1,1,1
228,20972,21003,21066,155,315,470,950,1,940,1,940,1,1,1
230,21163,21196,21259,165,315,480,955,1,965,1,965,1,1,1
232,21352,21384,21444,160,300,460,945,1,940,1,925,1,1,1
234,21544,21576,21641,160,325,485,960,1,960,1,985,1,1,1
236,21737,21771,21831,170,300,470,965,1,975,1,950,1,1,1
238,21927,21959,22022,160,315,475,950,1,940,1,955,1,1,1
240,22118,22151,22214,165,315,480,955,1,960,1,960,1,1,1
242,22305,22339,22400,170,305,475,935,1,940,1,930,1,1,1
244,22494,22527,22591,165,320,485,945,1,940,1,955,1,1,1
246,22683,22717,22779,170,310,480,945,1,950,1,940,1,1,1
248,22865,22897,22961,160,320,480,910,1,900,1,910,1,1,1
250,23052,23084,23146,160,310,470,935,1,935,1,925,1,1,1
252,23236,23270,23334,170,320,490,920,1,930,1,940,1,1,1
254,23421,23453,23519,160,330,490,925,1,915,1,925,1,1,1
256,23607,23639,23706,160,335,495,930,1,930,1,935,1,1,1
258,23793,23827,23888,170,305,475,930,1,940,1,910,1,1,1
