"INDEX","ECG_R","PPG_F","PPG_S","PAT1","PAT2","ECG_R_INT","ECG_R_FLAG","PPG_F_INT","PPG_F_FLAG","PPG_S_INT","PPG_S_FLAG"
1,7,20,74,65,270,NA,1,NA,1,NA,1
2,109,152,183,215,155,510,0,660,1,545,0
3,273,313,348,200,175,820,0,805,0,825,0
4,433,475,517,210,210,800,0,810,0,845,0
5,592,632,673,200,205,795,0,785,0,780,1
6,749,788,820,195,160,785,0,780,0,735,1
7,905,945,984,200,195,780,1,785,0,820,0
8,1056,1098,1137,210,195,755,1,765,1,765,1
9,1198,1239,1275,205,180,710,1,705,1,690,1
10,1334,1374,1413,200,195,680,1,675,1,690,1
11,1473,1512,1555,195,215,695,1,690,1,710,1
12,1620,1659,1697,195,190,735,1,735,1,710,1
13,1771,1811,1847,200,180,755,1,760,1,750,1
15,1998,1968,2156,-150,940,1135,0,785,0,1545,0
16,2118,2119,2306,5,935,600,1,755,1,750,1
17,2225,2264,2450,195,930,535,0,725,1,720,1
18,2370,2411,2589,205,890,725,1,735,1,695,1
19,2513,2553,2734,200,905,715,1,710,1,725,1
20,2655,2694,2872,195,890,710,1,705,1,690,1
21,2798,2839,3013,205,870,715,1,725,1,705,1
22,2934,2974,3138,200,820,680,1,675,1,625,1
23,3063,3105,3266,210,805,645,1,655,1,640,1
24,3188,3227,3390,195,815,625,1,610,1,620,1
25,3315,3354,3531,195,885,635,1,635,1,705,1
26,3452,3492,3671,200,895,685,1,690,1,700,1
27,3596,3634,3827,190,965,720,1,710,1,780,1
28,3752,3789,3976,185,935,780,1,775,1,745,1
29,3903,3943,4125,200,910,755,1,770,1,745,1
30,4093,4087,4258,-30,855,950,0,720,1,665,1
31,4224,4223,4404,-5,905,655,1,680,1,730,1
32,4325,4362,4546,185,920,505,0,695,1,710,1
33,4463,4500,4685,185,925,690,1,690,1,695,1
34,4609,4648,4829,195,905,730,1,740,1,720,1
35,4750,4788,4960,190,860,705,1,700,1,655,1
36,4886,4925,5095,195,850,680,1,685,1,675,1
37,5019,5060,5230,205,850,665,1,675,1,675,1
38,5157,5193,5378,180,925,690,1,665,1,740,1
39,5302,5338,5535,180,985,725,1,725,1,785,0
40,5452,5490,5676,190,930,750,1,760,1,705,1
41,5596,5636,5812,200,880,720,1,730,1,680,1
42,5737,5776,5964,195,940,705,1,700,1,760,1
43,5881,5921,6103,200,910,720,1,725,1,695,1
44,6027,6065,6249,190,920,730,1,720,1,730,1
45,6176,6216,6394,200,890,745,1,755,1,725,1
46,6318,6359,6529,205,850,710,1,715,1,675,1
47,6453,6493,6668,200,875,675,1,670,1,695,1
48,6585,6625,6802,200,885,660,1,660,1,670,1
49,6721,6760,6938,195,890,680,1,675,1,680,1
50,6861,6901,7085,200,920,700,1,705,1,735,1
51,7007,7044,7228,185,920,730,1,715,1,715,1
52,7147,7187,7363,200,880,700,1,715,1,675,1
53,7287,7324,7512,185,940,700,1,685,1,745,1
54,7434,7471,7659,185,940,735,1,735,1,735,1
55,7581,7620,7803,195,915,735,1,745,1,720,1
56,7729,7768,7939,195,855,740,1,740,1,680,1
57,7868,7907,8078,195,855,695,1,695,1,695,1
58,8004,8041,8217,185,880,680,1,670,1,695,1
59,8137,8179,8352,210,865,665,1,690,1,675,1
60,8271,8311,8487,200,880,670,1,660,1,675,1
61,8406,8446,8614,200,840,675,1,675,1,635,1
62,8538,8580,8745,210,825,660,1,670,1,655,1
63,8668,8705,8878,185,865,650,1,625,1,665,1
64,8801,8839,9014,190,875,665,1,670,1,680,1
65,8934,8972,9150,190,890,665,1,665,1,680,1
66,9075,9109,9292,170,915,705,1,685,1,710,1
67,9218,9257,9433,195,880,715,1,740,1,705,1
68,9357,9397,9569,200,860,695,1,700,1,680,1
69,9494,9532,9716,190,920,685,1,675,1,735,1
70,9636,9674,9858,190,920,710,1,710,1,710,1
71,9779,9817,9997,190,900,715,1,715,1,695,1
72,9921,9960,10134,195,870,710,1,715,1,685,1
73,10058,10097,10265,195,840,685,1,685,1,655,1
74,10188,10228,10392,200,820,650,1,655,1,635,1
75,10317,10355,10520,190,825,645,1,635,1,640,1
76,10446,10483,10656,185,865,645,1,640,1,680,1
77,10582,10619,10789,185,850,680,1,680,1,665,1
78,10720,10757,10933,185,880,690,1,690,1,720,1
79,10857,10895,11075,190,900,685,1,690,1,710,1
80,10995,11031,11219,180,940,690,1,680,1,720,1
81,11145,11180,11362,175,910,750,1,745,1,715,1
82,11292,11331,11510,195,895,735,1,755,1,740,1
83,11436,11473,11644,185,855,720,1,710,1,670,1
84,11574,11611,11789,185,890,690,1,690,1,725,1
85,11714,11751,11929,185,890,700,1,700,1,700,1
86,11857,11893,12070,180,885,715,1,710,1,705,1
87,11997,12033,12209,180,880,700,1,700,1,695,1
88,12131,12169,12338,190,845,670,1,680,1,645,1
89,12259,12299,12472,200,865,640,1,650,1,670,1
90,12391,12429,12599,190,850,660,1,650,1,635,1
91,12523,12560,12730,185,850,660,1,655,1,655,1
92,12661,12696,12870,175,870,690,1,680,1,700,1
93,12799,12834,13004,175,850,690,1,690,1,670,1
94,12932,12970,13140,190,850,665,1,680,1,680,1
95,13065,13103,13281,190,890,665,1,665,1,705,1
96,13205,13243,13417,190,870,700,1,700,1,680,1
97,13342,13380,13561,190,905,685,1,685,1,720,1
98,13486,13525,13700,195,875,720,1,725,1,695,1
99,13624,13662,13831,190,845,690,1,685,1,655,1
100,13756,13795,13966,195,855,660,1,665,1,675,1
101,13888,13926,14094,190,840,660,1,655,1,640,1
102,14019,14056,14225,185,845,655,1,650,1,655,1
103,14149,14187,14354,190,835,650,1,655,1,645,1
104,14280,14318,14483,190,825,655,1,655,1,645,1
105,14408,14445,14611,185,830,640,1,635,1,640,1
106,14537,14574,14743,185,845,645,1,645,1,660,1
107,14670,14705,14880,175,875,665,1,655,1,685,1
108,14808,14845,15021,185,880,690,1,700,1,705,1
109,14947,14984,15160,185,880,695,1,695,1,695,1
110,15081,15120,15288,195,840,670,1,680,1,640,1
111,15212,15252,15419,200,835,655,1,660,1,655,1
112,15344,15382,15548,190,830,660,1,650,1,645,1
113,15474,15510,15675,180,825,650,1,640,1,635,1
114,15603,15640,15803,185,815,645,1,650,1,640,1
115,15731,15769,15935,190,830,640,1,645,1,660,1
116,15856,15896,16062,200,830,625,1,635,1,635,1
117,15985,16021,16192,180,855,645,1,625,1,650,1
118,16120,16157,16329,185,860,675,1,680,1,685,1
119,16258,16296,16474,190,890,690,1,695,1,725,1
120,16397,16434,16606,185,860,695,1,690,1,660,1
121,16533,16571,16739,190,840,680,1,685,1,665,1
122,16665,16704,16878,195,870,660,1,665,1,695,1
123,16798,16836,17005,190,845,665,1,660,1,635,1
124,16933,16969,17143,180,870,675,1,665,1,690,1
125,17071,17107,17283,180,880,690,1,690,1,700,1
126,17210,17247,17415,185,840,695,1,700,1,660,1
127,17345,17383,17550,190,835,675,1,680,1,675,1
128,17477,17513,17684,180,855,660,1,650,1,670,1
129,17608,17644,17819,180,875,655,1,655,1,675,1
130,17741,17778,17953,185,875,665,1,670,1,670,1
131,17880,17917,18092,185,875,695,1,695,1,695,1
132,18015,18054,18228,195,870,675,1,685,1,680,1
133,18153,18188,18367,175,895,690,1,670,1,695,1
134,18291,18327,18504,180,885,690,1,695,1,685,1
135,18432,18468,18650,180,910,705,1,705,1,730,1
136,18575,18613,18788,190,875,715,1,725,1,690,1
137,18712,18749,18920,185,855,685,1,680,1,660,1
138,18844,18880,19050,180,850,660,1,655,1,650,1
139,18976,19014,19188,190,870,660,1,670,1,690,1
140,19114,19149,19328,175,895,690,1,675,1,700,1
141,19254,19290,19467,180,885,700,1,705,1,695,1
142,19394,19431,19606,185,875,700,1,705,1,695,1
143,19529,19567,19738,190,855,675,1,680,1,660,1
144,19661,19699,19870,190,855,660,1,660,1,660,1
145,19797,19833,20016,180,915,680,1,670,1,730,1
146,19937,19974,20158,185,920,700,1,705,1,710,1
147,20081,20120,20296,195,880,720,1,730,1,690,1
148,20224,20263,20441,195,890,715,1,715,1,725,1
149,20362,20400,20577,190,885,690,1,685,1,680,1
150,20500,20539,20721,195,910,690,1,695,1,720,1
151,20642,20679,20863,185,920,710,1,700,1,710,1
152,20784,20822,20999,190,885,710,1,715,1,680,1
153,20925,20963,21132,190,845,705,1,705,1,665,1
154,21058,21096,21257,190,805,665,1,665,1,625,1
155,21187,21223,21393,180,850,645,1,635,1,680,1
156,21318,21355,21530,185,875,655,1,660,1,685,1
157,21454,21491,21667,185,880,680,1,680,1,685,1
158,21592,21630,21808,190,890,690,1,695,1,705,1
159,21732,21769,21947,185,890,700,1,695,1,695,1
160,21868,21906,22079,190,865,680,1,685,1,660,1
161,22002,22038,22219,180,905,670,1,660,1,700,1
162,22143,22179,22365,180,930,705,1,705,1,730,1
163,22284,22320,22506,180,930,705,1,705,1,705,1
164,22428,22466,22638,190,860,720,1,730,1,660,1
165,22564,22603,22769,195,830,680,1,685,1,655,1
166,22696,22733,22898,185,825,660,1,650,1,645,1
167,22829,22865,23034,180,845,665,1,660,1,680,1
168,22963,23000,23172,185,860,670,1,675,1,690,1
169,23098,23134,23304,180,850,675,1,670,1,660,1
170,23227,23266,23422,195,780,645,1,660,1,590,1
171,23352,23389,23549,185,800,625,1,615,1,635,1
172,23477,23513,23682,180,845,625,1,620,1,665,1
173,23607,23644,23810,185,830,650,1,655,1,640,1
174,23736,23772,23944,180,860,645,1,640,1,670,1
