"INDEX","ECG_R","PPG_F","PPG_S","PAT1","PAT2","PAT3","ECG_R_INT","ECG_R_FLAG","PPG_F_INT","PPG_F_FLAG","PPG_S_INT","PPG_S_FLAG","PAT1_FLAG","PAT2_FLAG"
1,57,102,146,225,220,445,NA,1,NA,1,NA,1,1,1
2,178,220,267,210,235,445,605,1,590,1,605,1,1,1
3,300,347,403,235,280,515,610,1,635,1,680,1,1,1
4,420,467,505,235,190,425,600,1,600,1,510,1,1,1
5,538,584,620,230,180,410,590,1,585,1,575,1,1,1
6,657,699,750,210,255,465,595,1,575,1,650,1,1,1
7,779,818,892,195,370,565,610,1,595,1,710,1,1,1
8,900,944,982,220,190,410,605,1,630,1,450,1,1,1
9,1021,1062,1108,205,230,435,605,1,590,1,630,1,1,1
10,1139,1183,1245,220,310,530,590,1,605,1,685,1,1,1
11,1265,1302,1347,185,225,410,630,1,595,1,510,1,1,1
12,1392,1431,1502,195,355,550,635,1,645,1,775,1,1,1
13,1518,1558,1597,200,195,395,630,1,635,1,475,1,1,1
14,1641,1681,1721,200,200,400,615,1,615,1,620,1,1,1
15,1767,1812,1883,225,355,580,630,1,655,1,810,1,1,1
16,1895,1937,1993,210,280,490,640,0,625,1,550,1,1,1
17,2022,2067,2135,225,340,565,635,1,650,1,710,1,1,1
18,2144,2188,2230,220,210,430,610,1,605,1,475,1,1,1
19,2266,2305,2377,195,360,555,610,1,585,1,735,1,1,1
20,2387,2430,2471,215,205,420,605,1,625,1,470,1,1,1
21,2507,2550,2617,215,335,550,600,1,600,1,730,1,1,1
22,2625,2671,2703,230,160,390,590,1,605,1,430,1,1,1
23,2745,2784,2839,195,275,470,600,1,565,1,680,1,1,1
24,2867,2909,2952,210,215,425,610,1,625,1,565,1,1,1
25,2988,3033,3100,225,335,560,605,1,620,1,740,1,1,1
26,3108,3152,3198,220,230,450,600,1,595,1,490,1,1,1
27,3227,3271,3309,220,190,410,595,1,595,1,555,1,1,1
28,3349,3389,3444,200,275,475,610,1,590,1,675,1,1,1
29,3471,3515,3574,220,295,515,610,1,630,1,650,1,1,1
30,3593,3635,3678,210,215,425,610,1,600,1,520,1,1,1
31,3716,3761,3811,225,250,475,615,1,630,1,665,1,1,1
32,3839,3880,3946,205,330,535,615,1,595,1,675,1,1,1
33,3962,4006,4061,220,275,495,615,1,630,1,575,1,1,1
34,4081,4127,4159,230,160,390,595,1,605,1,490,1,1,1
35,4199,4243,4281,220,190,410,590,1,580,1,610,1,1,1
36,4318,4360,4419,210,295,505,595,1,585,1,690,1,1,1
37,4441,4480,4553,195,365,560,615,1,600,1,670,1,1,1
38,4565,4612,4641,235,145,380,620,1,660,1,440,1,1,1
39,4683,4727,4756,220,145,365,590,1,575,1,575,1,1,1
40,4800,4846,4908,230,310,540,585,1,595,1,760,1,1,1
41,4919,4960,5001,205,205,410,595,1,570,1,465,1,1,1
45,5272,5314,5371,210,285,495,1765,0,1770,0,1850,0,1,1
46,5392,5433,5499,205,330,535,600,1,595,1,640,1,1,1
47,5514,5555,5597,205,210,415,610,1,610,1,490,1,1,1
48,5633,5680,5713,235,165,400,595,1,625,1,580,1,1,1
49,5754,5795,5840,205,225,430,605,1,575,1,635,1,1,1
50,5877,5913,5957,180,220,400,615,1,590,1,585,1,1,1
51,5998,6041,6093,215,260,475,605,1,640,1,680,1,1,1
52,6122,6165,6221,215,280,495,620,1,620,1,640,1,1,1
53,6243,6284,6348,205,320,525,605,1,595,1,635,1,1,1
54,6363,6405,6472,210,335,545,600,1,605,1,620,1,1,1
55,6485,6529,6572,220,215,435,610,1,620,1,500,1,1,1
56,6610,6650,6692,200,210,410,625,1,605,1,600,1,1,1
57,6728,6771,6804,215,165,380,590,1,605,1,560,1,1,1
58,6848,6888,6958,200,350,550,600,1,585,1,770,1,1,1
59,6971,7017,7062,230,225,455,615,1,645,1,520,1,1,1
60,7096,7134,7180,190,230,420,625,1,585,1,590,1,1,1
61,7214,7258,7315,220,285,505,590,1,620,1,675,1,1,1
62,7332,7370,7410,190,200,390,590,1,560,1,475,1,1,1
63,7451,7492,7536,205,220,425,595,1,610,1,630,1,1,1
64,7571,7615,7665,220,250,470,600,1,615,1,645,1,1,1
65,7690,7731,7783,205,260,465,595,1,580,1,590,1,1,1
66,7806,7849,7884,215,175,390,580,1,590,1,505,1,1,1
67,7927,7966,8027,195,305,500,605,1,585,1,715,1,1,1
68,8047,8087,8132,200,225,425,600,1,605,1,525,1,1,1
69,8167,8211,8253,220,210,430,600,1,620,1,605,1,1,1
70,8282,8327,8380,225,265,490,575,1,580,1,635,1,1,1
71,8399,8433,8480,170,235,405,585,1,530,0,500,1,0,1
72,8517,8562,8628,225,330,555,590,1,645,1,740,1,1,1
73,8641,8680,8743,195,315,510,620,1,590,1,575,1,1,1
74,8758,8803,8840,225,185,410,585,1,615,1,485,1,1,1
75,8875,8917,8964,210,235,445,585,1,570,1,620,1,1,1
76,8991,9033,9065,210,160,370,580,1,580,1,505,1,1,1
77,9108,9150,9203,210,265,475,585,1,585,1,690,1,1,1
78,9226,9268,9304,210,180,390,590,1,590,1,505,1,1,1
79,9341,9384,9433,215,245,460,575,1,580,1,645,1,1,1
80,9460,9499,9541,195,210,405,595,1,575,1,540,1,1,1
81,9579,9619,9678,200,295,495,595,1,600,1,685,1,1,1
82,9700,9740,9806,200,330,530,605,1,605,1,640,1,1,1
83,9819,9861,9904,210,215,425,595,1,605,1,490,1,1,1
84,9937,9975,10028,190,265,455,590,1,570,1,620,1,1,1
85,10058,10099,10162,205,315,520,605,1,620,1,670,1,1,1
86,10179,10219,10273,200,270,470,605,1,600,1,555,1,1,1
87,10300,10341,10390,205,245,450,605,1,610,1,585,1,1,1
88,10419,10459,10500,200,205,405,595,1,590,1,550,1,1,1
89,10539,10580,10627,205,235,440,600,1,605,1,635,1,1,1
91,10817,10826,10867,45,205,250,1390,0,1230,0,1200,0,0,1
92,10898,10941,10990,215,245,460,405,0,575,1,615,1,1,1
93,11014,11052,11094,190,210,400,580,1,555,1,520,1,1,1
94,11135,11179,11213,220,170,390,605,1,635,1,595,1,1,1
95,11257,11302,11362,225,300,525,610,1,615,1,745,1,1,1
96,11377,11419,11470,210,255,465,600,1,585,1,540,1,1,1
97,11498,11541,11580,215,195,410,605,1,610,1,550,1,1,1
98,11622,11661,11710,195,245,440,620,1,600,1,650,1,1,1
99,11742,11785,11826,215,205,420,600,1,620,1,580,1,1,1
100,11865,11909,11963,220,270,490,615,1,620,1,685,1,1,1
101,11982,12029,12062,235,165,400,585,1,600,1,495,1,1,1
102,12102,12145,12197,215,260,475,600,1,580,1,675,1,1,1
103,12223,12268,12326,225,290,515,605,1,615,1,645,1,1,1
104,12344,12387,12446,215,295,510,605,1,595,1,600,1,1,1
105,12460,12500,12540,200,200,400,580,1,565,1,470,1,1,1
106,12578,12616,12675,190,295,485,590,1,580,1,675,1,1,1
107,12693,12732,12771,195,195,390,575,1,580,1,480,1,1,1
108,12812,12853,12891,205,190,395,595,1,605,1,600,1,1,1
111,13172,13211,13268,195,285,480,1800,0,1790,0,1885,0,1,1
112,13293,13336,13391,215,275,490,605,1,625,1,615,1,1,1
116,13662,13700,13763,190,315,505,1845,0,1820,0,1860,0,1,1
117,13787,13829,13868,210,195,405,625,1,645,1,525,1,1,1
118,13911,13949,14013,190,320,510,620,1,600,1,725,1,1,1
120,14149,14192,14232,215,200,415,1190,0,1215,0,1095,0,1,1
121,14265,14311,14347,230,180,410,580,1,595,1,575,1,1,1
122,14383,14425,14471,210,230,440,590,1,570,1,620,1,1,1
123,14497,14541,14588,220,235,455,570,1,580,1,585,1,1,1
124,14607,14652,14688,225,180,405,550,0,555,1,500,1,1,1
125,14719,14763,14798,220,175,395,560,0,555,1,550,1,1,1
129,15203,15206,15262,15,280,295,2420,0,2215,0,2320,0,0,1
130,15288,15334,15393,230,295,525,425,0,640,1,655,1,1,1
131,15408,15451,15508,215,285,500,600,1,585,1,575,1,1,1
132,15528,15570,15610,210,200,410,600,1,595,1,510,1,1,1
133,15648,15689,15730,205,205,410,600,1,595,1,600,1,1,1
134,15768,15814,15848,230,170,400,600,1,625,1,590,1,1,1
135,15884,15930,15968,230,190,420,580,1,580,1,600,1,1,1
136,16000,16046,16089,230,215,445,580,1,580,1,605,1,1,1
137,16119,16166,16205,235,195,430,595,1,600,1,580,1,1,1
140,16470,16507,16572,185,325,510,1755,0,1705,0,1835,0,1,1
141,16588,16628,16678,200,250,450,590,1,605,1,530,1,1,1
142,16709,16750,16803,205,265,470,605,1,610,1,625,1,1,1
143,16829,16873,16932,220,295,515,600,1,615,1,645,1,1,1
144,16947,16992,17028,225,180,405,590,1,595,1,480,1,1,1
145,17066,17107,17147,205,200,405,595,1,575,1,595,1,1,1
146,17185,17228,17288,215,300,515,595,1,605,1,705,1,1,1
147,17308,17351,17386,215,175,390,615,1,615,1,490,1,1,1
148,17426,17471,17525,225,270,495,590,1,600,1,695,1,1,1
149,17546,17588,17637,210,245,455,600,1,585,1,560,1,1,1
150,17662,17705,17769,215,320,535,580,1,585,1,660,1,1,1
151,17783,17828,17887,225,295,520,605,1,615,1,590,1,1,1
152,17905,17946,18021,205,375,580,610,1,590,1,670,1,1,1
153,18024,18065,18103,205,190,395,595,1,595,1,410,1,1,1
154,18144,18188,18224,220,180,400,600,1,615,1,605,1,1,1
155,18268,18311,18377,215,330,545,620,1,615,1,765,1,1,1
156,18394,18437,18499,215,310,525,630,1,630,1,610,1,1,1
157,18518,18562,18597,220,175,395,620,1,625,1,490,1,1,1
158,18640,18687,18737,235,250,485,610,1,625,1,700,1,1,1
159,18761,18806,18850,225,220,445,605,1,595,1,565,1,1,1
160,18884,18927,18965,215,190,405,615,1,605,1,575,1,1,1
163,19160,19164,19237,20,365,385,1380,0,1185,0,1360,0,0,1
164,19242,19285,19355,215,350,565,410,0,605,1,590,1,1,1
165,19363,19406,19443,215,185,400,605,1,605,1,440,1,1,1
166,19485,19526,19571,205,225,430,610,1,600,1,640,1,1,1
167,19603,19647,19688,220,205,425,590,1,605,1,585,1,1,1
168,19724,19767,19803,215,180,395,605,1,600,1,575,1,1,1
169,19847,19886,19930,195,220,415,615,1,595,1,635,1,1,1
172,20101,20127,20165,130,190,320,1270,0,1205,0,1175,0,0,1
173,20199,20242,20303,215,305,520,490,0,575,1,690,1,1,1
174,20320,20364,20403,220,195,415,605,1,610,1,500,1,1,1
175,20441,20484,20519,215,175,390,605,1,600,1,580,1,1,1
176,20559,20606,20664,235,290,525,590,1,610,1,725,1,1,1
177,20681,20723,20787,210,320,530,610,1,585,1,615,1,1,1
178,20802,20846,20907,220,305,525,605,1,615,1,600,1,1,1
179,20923,20968,21021,225,265,490,605,1,610,1,570,1,1,1
180,21041,21083,21159,210,380,590,590,1,575,1,690,1,1,1
181,21162,21203,21263,205,300,505,605,1,600,1,520,1,1,1
182,21282,21326,21359,220,165,385,600,1,615,1,480,1,1,1
183,21402,21445,21484,215,195,410,600,1,595,1,625,1,1,1
184,21518,21557,21622,195,325,520,580,1,560,1,690,1,1,1
185,21638,21684,21731,230,235,465,600,1,635,1,545,1,1,1
188,21884,21924,21977,200,265,465,1230,0,1200,0,1230,0,1,1
189,22005,22049,22094,220,225,445,605,1,625,1,585,1,1,1
190,22125,22170,22217,225,235,460,600,1,605,1,615,1,1,1
191,22248,22287,22328,195,205,400,615,1,585,1,555,1,1,1
192,22372,22415,22461,215,230,445,620,1,640,1,665,1,1,1
193,22492,22533,22572,205,195,400,600,1,590,1,555,1,1,1
194,22612,22658,22711,230,265,495,600,1,625,1,695,1,1,1
195,22731,22769,22824,190,275,465,595,1,555,1,565,1,1,1
198,23005,23015,23078,50,315,365,1370,0,1230,0,1270,0,0,1
199,23093,23138,23182,225,220,445,440,0,615,1,520,1,1,1
200,23210,23252,23292,210,200,410,585,1,570,1,550,1,1,1
201,23333,23371,23443,190,360,550,615,1,595,1,755,1,1,1
202,23456,23495,23559,195,320,515,615,1,620,1,580,1,1,1
203,23577,23620,23686,215,330,545,605,1,625,1,635,1,1,1
204,23699,23743,23808,220,325,545,610,1,615,1,610,1,1,1
205,23826,23868,23932,210,320,530,635,1,625,1,620,1,1,1
