"INDEX","ECG_R","PPG_F","PPG_S","PAT1","PAT2","ECG_R_INT","ECG_R_FLAG","PPG_F_INT","PPG_F_FLAG","PPG_S_INT","PPG_S_FLAG"
124,18706,18747,18778,205,155,780,1,785,1,765,1
125,18858,18901,18947,215,230,760,1,770,1,845,1
126,19002,19044,19087,210,215,720,1,715,1,700,1
127,19144,19186,19228,210,210,710,1,710,1,705,1
128,19287,19329,19366,210,185,715,1,715,1,690,1
129,19428,19470,19511,210,205,705,1,705,1,725,1
130,19565,19605,19646,200,205,685,1,675,1,675,1
131,19703,19742,19784,195,210,690,1,685,1,690,1
132,19843,19885,19924,210,195,700,1,715,1,700,1
133,19981,20021,20061,200,200,690,1,680,1,685,1
134,20131,20170,20210,195,200,750,1,745,1,745,1
135,20292,20333,20368,205,175,805,1,815,1,790,1
136,20447,20488,20526,205,190,775,1,775,1,790,1
137,20611,20650,20690,195,200,820,1,810,1,820,1
138,20772,20813,20854,205,205,805,1,815,1,820,1
139,20926,20970,21009,220,195,770,1,785,1,775,1
140,21074,21115,21155,205,200,740,1,725,1,730,1
141,21216,21258,21300,210,210,710,1,715,1,725,1
142,21353,21394,21435,205,205,685,1,680,1,675,1
143,21493,21534,21573,205,195,700,1,700,1,690,1
144,21639,21680,21718,205,190,730,1,730,1,725,1
145,21793,21833,21873,200,200,770,1,765,1,775,1
146,21956,21998,22038,210,200,815,1,825,1,825,1
147,22119,22160,22201,205,205,815,1,810,1,815,1
148,22273,22316,22358,215,210,770,1,780,1,785,1
149,22427,22469,22509,210,200,770,1,765,1,755,1
150,22578,22620,22661,210,205,755,1,755,1,760,1
151,22723,22765,22803,210,190,725,1,725,1,710,1
152,22865,22905,22941,200,180,710,1,700,1,690,1
153,23009,23050,23088,205,190,720,1,725,1,735,1
154,23162,23202,23277,200,375,765,1,760,1,945,0
155,23315,23355,23396,200,205,765,1,765,1,595,0
156,23466,23507,23547,205,200,755,1,760,1,755,1
157,23631,23671,23719,200,240,825,1,820,1,860,1
158,23798,23838,23881,200,215,835,0,835,1,810,1
159,23955,23972,23984,85,60,785,1,670,1,515,0
