"INDEX","ECG_R","PPG_F","PPG_S","PAT1","PAT2","PAT3","ECG_R_INT","ECG_R_FLAG","PPG_F_INT","PPG_F_FLAG","PPG_S_INT","PPG_S_FLAG","PAT1_FLAG","PAT2_FLAG"
2,108,141,188,165,235,400,NA,1,NA,1,NA,1,1,1
4,271,305,352,170,235,405,815,1,820,1,820,1,0,1
5,430,459,509,145,250,395,795,1,770,0,785,1,1,1
6,589,614,673,125,295,420,795,1,775,0,820,1,0,1
7,750,779,833,145,270,415,805,1,825,1,800,1,1,1
8,913,944,1002,155,290,445,815,1,825,1,845,1,1,1
10,1077,1111,1155,170,220,390,820,1,835,1,765,1,0,1
12,1238,1262,1322,120,300,420,805,1,755,0,835,1,0,1
13,1398,1427,1489,145,310,455,800,1,825,1,835,1,1,1
14,1558,1588,1640,150,260,410,800,1,805,1,755,1,1,1
15,1717,1747,1804,150,285,435,795,1,795,1,820,1,1,1
17,1879,1906,1963,135,285,420,810,1,795,1,795,1,1,1
18,2040,2069,2119,145,250,395,805,1,815,1,780,1,1,1
20,2203,2235,2283,160,240,400,815,1,830,1,820,1,1,1
22,2367,2399,2447,160,240,400,820,1,820,1,820,1,1,1
23,2529,2558,2611,145,265,410,810,1,795,1,820,1,1,1
25,2693,2724,2795,155,355,510,820,1,830,1,920,1,1,1
27,2860,2892,2943,160,255,415,835,1,840,1,740,1,1,1
29,3026,3058,3109,160,255,415,830,1,830,1,830,1,1,1
31,3194,3226,3277,160,255,415,840,1,840,1,840,1,1,1
33,3364,3395,3458,155,315,470,850,1,845,1,905,1,1,1
35,3533,3563,3617,150,270,420,845,1,840,1,795,1,1,1
37,3707,3741,3805,170,320,490,870,1,890,1,940,1,0,1
39,3876,3906,3976,150,350,500,845,1,825,1,855,1,1,1
41,4047,4078,4128,155,250,405,855,1,860,1,760,1,1,1
43,4218,4245,4302,135,285,420,855,1,835,1,870,1,1,1
45,4393,4423,4480,150,285,435,875,1,890,1,890,1,1,1
47,4565,4594,4679,145,425,570,860,1,855,1,995,0,1,0
49,4740,4770,4843,150,365,515,875,1,880,1,820,1,1,1
51,4914,4945,4999,155,270,425,870,1,875,1,780,1,1,1
53,5089,5119,5170,150,255,405,875,1,870,1,855,1,1,1
57,5438,5463,5518,125,275,400,1745,0,1720,0,1740,0,0,1
59,5606,5635,5692,145,285,430,840,1,860,1,870,1,1,1
61,5774,5802,5852,140,250,390,840,1,835,1,800,1,1,1
63,5940,5969,6021,145,260,405,830,1,835,1,845,1,1,1
65,6107,6134,6187,135,265,400,835,1,825,1,830,1,1,1
67,6271,6302,6368,155,330,485,820,1,840,1,905,1,1,1
68,6437,6469,6540,160,355,515,830,1,835,1,860,1,1,1
70,6604,6634,6703,150,345,495,835,1,825,1,815,1,1,1
74,6941,6971,7039,150,340,490,1685,0,1685,0,1680,0,1,1
76,7107,7136,7199,145,315,460,830,1,825,1,800,1,1,1
78,7274,7304,7356,150,260,410,835,1,840,1,785,1,1,1
80,7443,7472,7519,145,235,380,845,1,840,1,815,1,1,1
82,7609,7637,7684,140,235,375,830,1,825,1,825,1,1,1
83,7771,7800,7855,145,275,420,810,1,815,1,855,1,1,1
85,7934,7963,8012,145,245,390,815,1,815,1,785,1,1,1
86,8097,8125,8181,140,280,420,815,1,810,1,845,1,1,1
88,8259,8289,8363,150,370,520,810,1,820,1,910,1,1,1
90,8422,8453,8525,155,360,515,815,1,820,1,810,1,1,1
92,8585,8614,8665,145,255,400,815,1,805,1,700,0,1,1
94,8749,8778,8829,145,255,400,820,1,820,1,820,1,1,1
96,8912,8942,9002,150,300,450,815,1,820,1,865,1,1,1
98,9080,9109,9168,145,295,440,840,1,835,1,830,1,1,1
100,9247,9277,9335,150,290,440,835,1,840,1,835,1,1,1
102,9416,9446,9512,150,330,480,845,1,845,1,885,1,1,1
104,9583,9615,9671,160,280,440,835,1,845,1,795,1,1,1
106,9750,9780,9837,150,285,435,835,1,825,1,830,1,1,1
108,9916,9945,10003,145,290,435,830,1,825,1,830,1,1,1
110,10081,10113,10162,160,245,405,825,1,840,1,795,1,1,1
112,10247,10277,10334,150,285,435,830,1,820,1,860,1,1,1
114,10409,10439,10498,150,295,445,810,1,810,1,820,1,1,1
115,10570,10599,10650,145,255,400,805,1,800,1,760,1,1,1
117,10732,10762,10813,150,255,405,810,1,815,1,815,1,1,1
118,10891,10919,10974,140,275,415,795,1,785,1,805,1,1,1
119,11049,11078,11145,145,335,480,790,1,795,1,855,1,1,1
120,11205,11235,11289,150,270,420,780,1,785,1,720,0,1,1
121,11363,11392,11442,145,250,395,790,1,785,1,765,1,1,1
123,11524,11552,11606,140,270,410,805,1,800,1,820,1,1,1
125,11691,11721,11770,150,245,395,835,1,845,1,820,1,1,1
130,12201,12233,12284,160,255,415,2550,0,2560,0,2570,0,1,1
131,12366,12395,12445,145,250,395,825,1,810,1,805,1,1,1
133,12536,12562,12620,130,290,420,850,1,835,1,875,1,0,1
135,12706,12737,12795,155,290,445,850,1,875,1,875,1,1,1
137,12875,12906,12957,155,255,410,845,1,845,1,810,1,1,1
139,13044,13077,13126,165,245,410,845,1,855,1,845,1,1,1
141,13210,13240,13293,150,265,415,830,1,815,1,835,1,1,1
142,13373,13404,13468,155,320,475,815,1,820,1,875,1,1,1
144,13539,13570,13633,155,315,470,830,1,830,1,825,1,1,1
147,13867,13896,13952,145,280,425,1640,0,1630,0,1595,0,1,1
149,14032,14063,14122,155,295,450,825,1,835,1,850,1,1,1
151,14200,14231,14284,155,265,420,840,1,840,1,810,1,1,1
153,14366,14397,14453,155,280,435,830,1,830,1,845,1,1,1
155,14535,14564,14626,145,310,455,845,1,835,1,865,1,1,1
157,14707,14737,14799,150,310,460,860,1,865,1,865,1,1,1
159,14890,14919,14981,145,310,455,915,0,910,0,910,1,1,1
161,15068,15098,15171,150,365,515,890,1,895,1,950,1,1,1
163,15248,15279,15336,155,285,440,900,0,905,0,825,1,1,1
165,15430,15460,15524,150,320,470,910,0,905,0,940,1,1,1
167,15603,15636,15688,165,260,425,865,1,880,1,820,1,1,1
169,15786,15818,15865,160,235,395,915,0,910,0,885,1,1,1
171,15953,15985,16049,160,320,480,835,1,835,1,920,1,1,1
173,16127,16157,16224,150,335,485,870,1,860,1,875,1,1,1
175,16297,16328,16384,155,280,435,850,1,855,1,800,1,1,1
177,16469,16500,16556,155,280,435,860,1,860,1,860,1,1,1
179,16636,16667,16733,155,330,485,835,1,835,1,885,1,1,1
181,16806,16835,16899,145,320,465,850,1,840,1,830,1,1,1
183,16977,17008,17070,155,310,465,855,1,865,1,855,1,1,1
185,17150,17181,17231,155,250,405,865,1,865,1,805,1,1,1
187,17318,17348,17406,150,290,440,840,1,835,1,875,1,1,1
189,17490,17521,17583,155,310,465,860,1,865,1,885,1,1,1
191,17660,17690,17761,150,355,505,850,1,845,1,890,1,1,1
192,17831,17861,17913,150,260,410,855,1,855,1,760,1,1,1
194,18000,18030,18084,150,270,420,845,1,845,1,855,1,1,1
196,18168,18198,18251,150,265,415,840,1,840,1,835,1,1,1
198,18337,18367,18428,150,305,455,845,1,845,1,885,1,1,1
200,18507,18537,18593,150,280,430,850,1,850,1,825,1,1,1
202,18677,18708,18762,155,270,425,850,1,855,1,845,1,1,1
204,18842,18873,18933,155,300,455,825,1,825,1,855,1,1,1
206,19008,19039,19104,155,325,480,830,1,830,1,855,1,1,1
207,19173,19205,19272,160,335,495,825,1,830,1,840,1,1,1
209,19340,19370,19428,150,290,440,835,1,825,1,780,1,1,1
211,19507,19536,19598,145,310,455,835,1,830,1,850,1,1,1
213,19673,19705,19756,160,255,415,830,1,845,1,790,1,1,1
215,19836,19867,19923,155,280,435,815,1,810,1,835,1,1,1
216,19998,20028,20079,150,255,405,810,1,805,1,780,1,1,1
217,20162,20190,20245,140,275,415,820,1,810,1,830,1,1,1
219,20327,20356,20407,145,255,400,825,1,830,1,810,1,1,1
221,20492,20523,20579,155,280,435,825,1,835,1,860,1,1,1
223,20660,20689,20751,145,310,455,840,1,830,1,860,1,1,1
224,20830,20861,20928,155,335,490,850,1,860,1,885,1,1,1
226,21006,21037,21086,155,245,400,880,1,880,1,790,1,1,1
228,21169,21200,21256,155,280,435,815,1,815,1,850,1,1,1
230,21338,21368,21446,150,390,540,845,1,840,1,950,1,1,1
232,21508,21540,21594,160,270,430,850,1,860,1,740,1,1,1
234,21677,21707,21764,150,285,435,845,1,835,1,850,1,1,1
236,21849,21881,21953,160,360,520,860,1,870,1,945,1,1,1
238,22030,22062,22127,160,325,485,905,0,905,0,870,1,1,1
240,22199,22230,22299,155,345,500,845,1,840,1,860,1,1,1
242,22383,22414,22478,155,320,475,920,0,920,0,895,1,1,1
244,22550,22581,22640,155,295,450,835,1,835,1,810,1,1,1
246,22733,22765,22822,160,285,445,915,0,920,0,910,1,1,1
248,22903,22936,22993,165,285,450,850,1,855,1,855,1,1,1
250,23085,23116,23180,155,320,475,910,0,900,1,935,1,1,1
252,23253,23285,23345,160,300,460,840,1,845,1,825,1,1,1
254,23424,23454,23511,150,285,435,855,1,845,1,830,1,1,1
256,23600,23631,23707,155,380,535,880,1,885,1,980,0,1,1
258,23775,23808,23875,165,335,500,875,1,885,1,840,1,1,1
