"INDEX","ECG_R","PPG_F","PPG_S","PAT1","PAT2","ECG_R_INT","ECG_R_FLAG","PPG_F_INT","PPG_F_FLAG","PPG_S_INT","PPG_S_FLAG"
1,76,102,152,130,250,NA,1,NA,1,NA,1
2,208,234,278,130,220,660,1,660,1,630,1
3,340,366,410,130,220,660,1,660,1,660,1
4,470,499,539,145,200,650,1,665,1,645,1
5,601,627,675,130,240,655,1,640,1,680,1
6,732,759,805,135,230,655,1,660,1,650,1
7,861,885,933,120,240,645,1,630,1,640,1
8,992,1018,1059,130,205,655,1,665,1,630,1
9,1123,1149,1191,130,210,655,1,655,1,660,1
10,1254,1281,1328,135,235,655,1,660,1,685,1
11,1386,1413,1458,135,225,660,1,660,1,650,1
12,1518,1544,1589,130,225,660,1,655,1,655,1
13,1650,1676,1721,130,225,660,1,660,1,660,1
14,1783,1809,1851,130,210,665,1,665,1,650,1
15,1916,1942,1989,130,235,665,1,665,1,690,1
16,2049,2077,2126,140,245,665,1,675,1,685,1
17,2182,2208,2255,130,235,665,1,655,1,645,1
18,2315,2341,2385,130,220,665,1,665,1,650,1
19,2448,2474,2518,130,220,665,1,665,1,665,1
20,2581,2607,2651,130,220,665,1,665,1,665,1
21,2713,2740,2784,135,220,660,1,665,1,665,1
22,2845,2873,2918,140,225,660,1,665,1,670,1
23,2978,3002,3053,120,255,665,1,645,1,675,1
24,3111,3136,3180,125,220,665,1,670,1,635,1
25,3243,3268,3312,125,220,660,1,660,1,660,1
26,3375,3402,3444,135,210,660,1,670,1,660,1
27,3507,3534,3581,135,235,660,1,660,1,685,1
28,3641,3668,3711,135,215,670,1,670,1,650,1
29,3775,3803,3851,140,240,670,1,675,1,700,1
30,3908,3932,3974,120,210,665,1,645,1,615,1
31,4041,4067,4106,130,195,665,1,675,1,660,1
32,4174,4201,4242,135,205,665,1,670,1,680,1
33,4307,4334,4378,135,220,665,1,665,1,680,1
34,4443,4468,4516,125,240,680,1,670,1,690,1
35,4576,4603,4649,135,230,665,1,675,1,665,1
36,4709,4735,4784,130,245,665,1,660,1,675,1
37,4843,4868,4912,125,220,670,1,665,1,640,1
38,4977,5003,5048,130,225,670,1,675,1,680,1
39,5111,5136,5183,125,235,670,1,665,1,675,1
40,5247,5276,5316,145,200,680,1,700,1,665,1
41,5382,5410,5456,140,230,675,1,670,1,700,1
42,5515,5544,5588,145,220,665,1,670,1,660,1
43,5650,5676,5722,130,230,675,1,660,1,670,1
44,5784,5811,5854,135,215,670,1,675,1,660,1
45,5919,5944,5987,125,215,675,1,665,1,665,1
46,6053,6078,6119,125,205,670,1,670,1,660,1
47,6187,6215,6256,140,205,670,1,685,1,685,1
48,6320,6346,6389,130,215,665,1,655,1,665,1
49,6454,6481,6525,135,220,670,1,675,1,680,1
