"INDEX","ECG_R","PPG_F","PPG_S","PAT1","PAT2","ECG_R_INT","ECG_R_FLAG","PPG_F_INT","PPG_F_FLAG","PPG_S_INT","PPG_S_FLAG"
2,123,173,344,250,855,NA,1,NA,1,NA,1
3,309,358,448,245,450,930,0,925,0,520,1
4,477,524,569,235,225,840,0,830,0,605,1
5,669,706,749,185,215,960,0,910,0,900,1
6,794,847,877,265,150,625,1,705,1,640,1
7,902,948,989,230,205,540,1,505,1,560,1
8,1096,1140,1163,220,115,970,0,960,0,870,1
9,1210,1251,1277,205,130,570,1,555,1,570,1
10,1319,1366,1424,235,290,545,1,575,1,735,1
11,1439,1471,1541,160,350,600,1,525,1,585,1
12,1543,1588,1691,225,515,520,1,585,1,750,1
13,1724,1771,1802,235,155,905,0,915,0,555,1
14,1921,1963,1903,210,-300,985,0,960,0,505,1
15,2045,2079,2008,170,-355,620,1,580,1,525,1
16,2150,2193,2133,215,-300,525,1,570,1,625,1
17,2268,2311,2246,215,-325,590,1,590,1,565,1
18,2369,2414,2440,225,130,505,1,515,1,970,0
19,2497,2527,2571,150,220,640,1,565,1,655,1
20,2605,2652,2680,235,140,540,1,625,1,545,1
21,2719,2764,2783,225,95,570,1,560,1,515,1
22,2820,2865,2940,225,375,505,1,505,1,785,1
23,3021,3067,3112,230,225,1005,0,1010,0,860,1
24,3127,3174,3303,235,645,530,1,535,1,955,1
25,3232,3274,3408,210,670,525,1,500,1,525,1
26,3332,3472,3520,700,240,500,1,990,0,560,1
27,3432,3583,3640,755,285,500,1,555,1,600,1
28,3540,3684,3776,720,460,540,1,505,1,680,1
29,3648,3881,3908,1165,135,540,1,985,0,660,1
30,3843,4000,4032,785,160,975,0,595,1,620,1
31,3953,4108,4152,775,220,550,1,540,1,600,1
32,4068,4208,4252,700,220,575,1,500,1,500,1
33,4172,4335,4366,815,155,520,1,635,1,570,1
34,4294,4521,4552,1135,155,610,1,930,0,930,1
35,4479,4634,4654,775,100,925,0,565,1,510,1
36,4590,4740,4768,750,140,555,1,530,1,570,1
37,4700,4841,4887,705,230,550,1,505,1,595,1
38,4809,4968,4988,795,100,545,1,635,1,505,1
39,4925,5074,5091,745,85,580,1,530,1,515,1
40,5042,5196,5227,770,155,585,1,610,1,680,1
41,5147,5302,5327,775,125,525,1,530,1,500,1
42,5283,5415,5466,660,255,680,1,565,1,695,1
43,5386,5530,5571,720,205,515,1,575,1,525,1
44,5513,5660,5691,735,155,635,1,650,1,600,1
45,5616,5780,5792,820,60,515,1,600,1,505,1
46,5728,5883,5911,775,140,560,1,515,1,595,1
47,5846,5996,6033,750,185,590,1,565,1,610,1
48,5956,6099,6149,715,250,550,1,515,1,580,1
49,6058,6229,6265,855,180,510,1,650,1,580,1
50,6189,6329,6383,700,270,655,1,500,1,590,1
51,6290,6455,6582,825,635,505,1,630,1,995,0
52,6416,6561,6744,725,915,630,1,530,1,810,1
53,6519,6669,6848,750,895,515,1,540,1,520,1
54,6652,6792,7041,700,1245,665,1,615,1,965,1
55,6756,6911,7160,775,1245,520,1,595,1,595,1
56,6873,7014,7285,705,1355,585,1,515,1,625,1
57,6974,7142,7397,840,1275,505,1,640,1,560,1
58,7081,7245,7499,820,1270,535,1,515,1,510,1
59,7204,7354,7605,750,1255,615,1,545,1,530,1
60,7321,7480,7707,795,1135,585,1,630,1,510,1
61,7422,7669,7825,1235,780,505,1,945,0,590,1
62,7526,7787,7946,1305,795,520,1,590,1,605,1
63,7629,7887,8106,1290,1095,515,1,500,1,800,1
64,7737,8080,8206,1715,630,540,1,965,0,500,1
65,7842,8281,8308,2195,135,525,1,1005,0,510,1
66,8040,8412,8484,1860,360,990,0,655,1,880,1
67,8140,8524,8602,1920,390,500,1,560,1,590,1
68,8243,8722,8772,2395,250,515,1,990,0,850,1
69,8383,8836,8965,2265,645,700,1,570,1,965,1
70,8485,8936,9115,2255,895,510,1,500,1,750,1
71,8680,9056,9280,1880,1120,975,0,600,1,825,1
72,8780,9164,9405,1920,1205,500,1,540,1,625,1
73,8898,9264,9548,1830,1420,590,1,500,1,715,1
74,9012,9364,9677,1760,1565,570,1,500,1,645,1
75,9121,9481,9853,1800,1860,545,1,585,1,880,1
76,9221,9616,9964,1975,1740,500,1,675,1,555,1
77,9326,9725,10101,1995,1880,525,1,545,1,685,1
78,9473,9830,10274,1785,2220,735,0,525,1,865,1
79,9574,10031,10384,2285,1765,505,1,1005,0,550,1
80,9677,10139,10527,2310,1940,515,1,540,1,715,1
81,9783,10249,10696,2330,2235,530,1,550,1,845,1
82,9883,10368,10819,2425,2255,500,1,595,1,615,1
83,9983,10468,10930,2425,2310,500,1,500,1,555,1
84,10105,10659,11030,2770,1855,610,1,955,0,500,1
85,10208,10782,11136,2870,1770,515,1,615,1,530,1
86,10316,10886,11239,2850,1765,540,1,520,1,515,1
87,10425,11008,11365,2915,1785,545,1,610,1,630,1
88,10611,11112,11480,2505,1840,930,0,520,1,575,1
89,10732,11216,11602,2420,1930,605,1,520,1,610,1
90,10837,11329,11722,2460,1965,525,1,565,1,600,1
91,10957,11445,11830,2440,1925,600,1,580,1,540,1
92,11068,11550,11944,2410,1970,555,1,525,1,570,1
93,11175,11674,12066,2495,1960,535,1,620,1,610,1
94,11281,11808,12174,2635,1830,530,1,670,1,540,1
95,11412,12003,12280,2955,1385,655,1,975,0,530,1
96,11519,12139,12380,3100,1205,535,1,680,1,500,1
97,11654,12246,12487,2960,1205,675,1,535,1,535,1
98,11757,12364,12640,3035,1380,515,1,590,1,765,1
99,11866,12465,12783,2995,1590,545,1,505,1,715,1
100,11968,12565,12940,2985,1875,510,1,500,1,785,1
101,12083,12693,13069,3050,1880,575,1,640,1,645,1
102,12199,12809,13191,3050,1910,580,1,580,1,610,1
103,12313,12913,13363,3000,2250,570,1,520,1,860,1
104,12422,13015,13475,2965,2300,545,1,510,1,560,1
105,12534,13116,13596,2910,2400,560,1,505,1,605,1
106,12647,13226,13782,2895,2780,565,1,550,1,930,1
107,12756,13327,13905,2855,2890,545,1,505,1,615,1
108,12871,13436,14027,2825,2955,575,1,545,1,610,1
109,12971,13556,14128,2925,2860,500,1,600,1,505,1
110,13074,13656,14230,2910,2870,515,1,500,1,510,1
111,13179,13760,14374,2905,3070,525,1,520,1,720,1
112,13283,13871,14559,2940,3440,520,1,555,1,925,1
113,13403,13989,14676,2930,3435,600,1,590,1,585,1
114,13510,14098,14777,2940,3395,535,1,545,1,505,1
115,13616,14204,14878,2940,3370,530,1,530,1,505,1
116,13720,14309,14984,2945,3375,520,1,525,1,530,1
117,13829,14418,15096,2945,3390,545,1,545,1,560,1
118,13946,14518,15220,2860,3510,585,1,500,1,620,1
119,14053,14640,15343,2935,3515,535,1,610,1,615,1
120,14163,14743,15531,2900,3940,550,1,515,1,940,1
121,14264,14846,15727,2910,4405,505,1,515,1,980,0
122,14378,14954,15838,2880,4420,570,1,540,1,555,1
123,14494,15058,15939,2820,4405,580,1,520,1,505,1
124,14601,15164,16055,2815,4455,535,1,530,1,580,1
125,14805,15275,16158,2350,4415,1020,0,555,1,515,1
126,14919,15389,16266,2350,4385,570,1,570,1,540,1
127,15024,15499,16369,2375,4350,525,1,550,1,515,1
128,15133,15599,16570,2330,4855,545,1,500,1,1005,0
129,15235,15704,16753,2345,5245,510,1,525,1,915,1
130,15338,15902,16957,2820,5275,515,1,990,0,1020,0
131,15454,16007,17110,2765,5515,580,1,525,1,765,1
132,15561,16108,17225,2735,5585,535,1,505,1,575,1
133,15661,16212,17402,2755,5950,500,1,520,1,885,1
134,15763,16312,17515,2745,6015,510,1,500,1,565,1
135,15864,16416,17615,2760,5995,505,1,520,1,500,1
136,16076,16521,17781,2225,6300,1060,0,525,1,830,1
137,16269,16724,17908,2275,5920,965,0,1015,0,635,1
138,16375,16827,18009,2260,5910,530,1,515,1,505,1
139,16485,16933,18117,2240,5920,550,1,530,1,540,1
140,16682,17046,18220,1820,5870,985,0,565,1,515,1
141,16786,17146,18321,1800,5875,520,1,500,1,505,1
142,16894,17264,18426,1850,5810,540,1,590,1,525,1
