"INDEX","ECG_R","PPG_F","PPG_S","PAT1","PAT2","ECG_R_INT","ECG_R_FLAG","PPG_F_INT","PPG_F_FLAG","PPG_S_INT","PPG_S_FLAG"
1,63,95,143,160,240,NA,1,NA,1,NA,1
2,194,227,271,165,220,655,1,660,1,640,1
3,321,353,397,160,220,635,1,630,1,630,1
4,448,482,523,170,205,635,1,645,1,630,1
5,574,608,648,170,200,630,1,630,1,625,1
6,702,732,776,150,220,640,1,620,1,640,1
7,835,870,909,175,195,665,1,690,1,665,1
8,962,997,1035,175,190,635,1,635,1,630,1
9,1091,1124,1168,165,220,645,1,635,1,665,1
10,1223,1254,1295,155,205,660,1,650,1,635,1
11,1360,1392,1431,160,195,685,1,690,1,680,1
12,1487,1521,1564,170,215,635,1,645,1,665,1
13,1617,1650,1693,165,215,650,1,645,1,645,1
14,1747,1776,1820,145,220,650,1,630,1,635,1
15,1876,1908,1949,160,205,645,1,660,1,645,1
16,2006,2040,2079,170,195,650,1,660,1,650,1
17,2134,2166,2212,160,230,640,1,630,1,665,1
18,2262,2294,2335,160,205,640,1,640,1,615,1
19,2391,2423,2466,160,215,645,1,645,1,655,1
20,2523,2552,2599,145,235,660,1,645,1,665,1
21,2649,2682,2728,165,230,630,1,650,1,645,1
22,2777,2811,2854,170,215,640,1,645,1,630,1
23,2913,2946,2987,165,205,680,1,675,1,665,1
24,3045,3077,3119,160,210,660,1,655,1,660,1
25,3171,3208,3253,185,225,630,1,655,1,670,1
26,3302,3335,3378,165,215,655,1,635,1,625,1
27,3438,3469,3513,155,220,680,1,670,1,675,1
28,3569,3602,3645,165,215,655,1,665,1,660,1
29,3693,3726,3766,165,200,620,1,620,1,605,1
30,3821,3853,3899,160,230,640,1,635,1,665,1
31,3949,3982,4026,165,220,640,1,645,1,635,1
32,4081,4111,4154,150,215,660,1,645,1,640,1
33,4206,4241,4277,175,180,625,1,650,1,615,1
34,4334,4367,4407,165,200,640,1,630,1,650,1
35,4465,4496,4539,155,215,655,1,645,1,660,1
36,4602,4633,4679,155,230,685,1,685,1,700,1
37,4729,4762,4800,165,190,635,1,645,1,605,1
38,4859,4892,4933,165,205,650,1,650,1,665,1
39,4992,5024,5066,160,210,665,1,660,1,665,1
40,5128,5161,5205,165,220,680,1,685,1,695,1
41,5252,5287,5326,175,195,620,1,630,1,605,1
42,5380,5413,5453,165,200,640,1,630,1,635,1
43,5511,5543,5587,160,220,655,1,650,1,670,1
44,5645,5683,5721,190,190,670,1,700,1,670,1
45,5770,5805,5848,175,215,625,1,610,1,635,1
46,5898,5931,5972,165,205,640,1,630,1,620,1
47,6026,6060,6104,170,220,640,1,645,1,660,1
48,6156,6187,6230,155,215,650,1,635,1,630,1
49,6282,6314,6351,160,185,630,1,635,1,605,1
50,6410,6445,6486,175,205,640,1,655,1,675,1
51,6540,6571,6611,155,200,650,1,630,1,625,1
52,6673,6704,6744,155,200,665,1,665,1,665,1
53,6798,6829,6872,155,215,625,1,625,1,640,1
54,6905,6961,7002,280,205,535,0,660,1,650,1
55,7057,7091,7135,170,220,760,0,650,1,665,1
56,7188,7223,7265,175,210,655,1,660,1,650,1
57,7315,7346,7390,155,220,635,1,615,1,625,1
58,7442,7477,7522,175,225,635,1,655,1,660,1
59,7570,7604,7649,170,225,640,1,635,1,635,1
60,7698,7733,7772,175,195,640,1,645,1,615,1
61,7811,7857,7897,230,200,565,0,620,1,625,1
62,7934,7982,8020,240,190,615,1,625,1,615,1
64,8202,8110,8274,-460,820,1340,0,640,1,1270,0
65,8321,8230,8393,-455,815,595,0,600,0,595,1
66,8441,8350,8515,-455,825,600,0,600,0,610,1
67,8607,8475,8636,-660,805,830,0,625,1,605,1
68,8716,8597,8765,-595,840,545,0,610,1,645,1
69,8816,8720,8890,-480,850,500,0,615,1,625,1
70,8937,8848,9012,-445,820,605,1,640,1,610,1
71,9109,8973,9138,-680,825,860,0,625,1,630,1
72,9215,9098,9265,-585,835,530,0,625,1,635,1
73,9324,9227,9399,-485,860,545,0,645,1,670,1
74,9424,9355,9525,-345,850,500,0,640,1,630,1
75,9579,9483,9659,-480,880,775,0,640,1,670,1
76,9710,9614,9779,-480,825,655,1,655,1,600,1
77,9840,9743,9915,-485,860,650,1,645,1,680,1
78,9970,9871,10044,-495,865,650,1,640,1,645,1
79,10101,10005,10174,-480,845,655,1,670,1,650,1
80,10238,10133,10315,-525,910,685,1,640,1,705,1
81,10373,10270,10446,-515,880,675,1,685,1,655,1
82,10508,10407,10580,-505,865,675,1,685,1,670,1
83,10643,10541,10720,-510,895,675,1,670,1,700,1
84,10779,10675,10849,-520,870,680,1,670,1,645,1
85,10914,10814,10987,-500,865,675,1,695,1,690,1
86,11048,10952,11120,-480,840,670,1,690,1,665,1
87,11181,11081,11258,-500,885,665,1,645,1,690,1
88,11318,11216,11409,-510,965,685,1,675,1,755,0
89,11453,11350,11527,-515,885,675,1,670,1,590,1
90,11588,11488,11661,-500,865,675,1,690,1,670,1
91,11723,11622,11796,-505,870,675,1,670,1,675,1
92,11860,11756,11934,-520,890,685,1,670,1,690,1
93,11996,11892,12071,-520,895,680,1,680,1,685,1
94,12132,12029,12207,-515,890,680,1,685,1,680,1
95,12268,12166,12346,-510,900,680,1,685,1,695,1
96,12409,12301,12484,-540,915,705,1,675,1,690,1
97,12541,12443,12617,-490,870,660,1,710,1,665,1
98,12678,12576,12753,-510,885,685,1,665,1,680,1
99,12815,12714,12889,-505,875,685,1,690,1,680,1
100,12952,12848,13037,-520,945,685,1,670,1,740,0
101,13088,12986,13165,-510,895,680,1,690,1,640,1
102,13225,13124,13299,-505,875,685,1,690,1,670,1
103,13363,13259,13439,-520,900,690,1,675,1,700,1
104,13504,13395,13580,-545,925,705,1,680,1,705,1
105,13635,13535,13709,-500,870,655,1,700,1,645,1
106,13769,13670,13844,-495,870,670,1,675,1,675,1
107,13904,13804,13981,-500,885,675,1,670,1,685,1
108,14037,13938,14113,-495,875,665,1,670,1,660,1
109,14171,14072,14242,-495,850,670,1,670,1,645,1
110,14309,14205,14384,-520,895,690,1,665,1,710,1
111,14439,14343,14512,-480,845,650,1,690,1,640,1
