"INDEX","ECG_R","PPG_F","PPG_S","PAT1","PAT2","PAT3","ECG_R_INT","ECG_R_FLAG","PPG_F_INT","PPG_F_FLAG","PPG_S_INT","PPG_S_FLAG","PAT1_FLAG","PAT2_FLAG"
1,73,102,145,145,215,360,NA,1,NA,1,NA,1,1,1
2,213,244,283,155,195,350,700,1,710,1,690,1,1,0
3,340,371,411,155,200,355,635,0,635,0,640,0,1,0
4,498,526,572,140,230,370,790,0,775,0,805,0,1,1
5,637,668,710,155,210,365,695,1,710,1,690,1,1,1
6,787,818,866,155,240,395,750,1,750,1,780,0,1,0
7,933,964,1007,155,215,370,730,1,730,1,705,1,1,1
8,1076,1107,1150,155,215,370,715,1,715,1,715,1,1,1
9,1219,1248,1293,145,225,370,715,1,705,1,715,1,1,1
10,1362,1392,1434,150,210,360,715,1,720,1,705,1,1,1
11,1505,1532,1574,135,210,345,715,1,700,1,700,1,0,1
12,1647,1676,1721,145,225,370,710,1,720,1,735,1,1,1
13,1787,1818,1872,155,270,425,700,1,710,1,755,1,1,0
14,1927,1956,1997,145,205,350,700,1,690,1,625,0,1,1
15,2065,2096,2131,155,175,330,690,1,700,1,670,1,1,0
16,2204,2235,2272,155,185,340,695,1,695,1,705,1,1,0
17,2344,2374,2417,150,215,365,700,1,695,1,725,1,1,1
18,2481,2511,2548,150,185,335,685,1,685,1,655,0,1,0
19,2621,2649,2687,140,190,330,700,1,690,1,695,1,1,0
20,2759,2787,2844,140,285,425,690,1,690,1,785,0,1,0
21,2898,2930,3011,160,405,565,695,1,715,1,835,0,0,0
22,3038,3044,3097,30,265,295,700,1,570,0,430,0,0,0
23,3174,3206,3241,160,175,335,680,1,810,0,720,1,0,0
24,3311,3341,3382,150,205,355,685,1,675,1,705,1,1,1
25,3445,3475,3517,150,210,360,670,1,670,1,675,1,1,1
26,3580,3610,3650,150,200,350,675,1,675,1,665,0,1,0
27,3714,3745,3784,155,195,350,670,1,675,1,670,1,1,0
28,3849,3879,3921,150,210,360,675,1,670,1,685,1,1,1
29,3983,4011,4054,140,215,355,670,1,660,0,665,0,1,1
30,4117,4145,4191,140,230,370,670,1,670,1,685,1,1,1
31,4253,4283,4322,150,195,345,680,1,690,1,655,0,1,0
32,4389,4418,4461,145,215,360,680,1,675,1,695,1,1,1
33,4525,4554,4598,145,220,365,680,1,680,1,685,1,1,1
34,4661,4691,4733,150,210,360,680,1,685,1,675,1,1,1
35,4797,4826,4870,145,220,365,680,1,675,1,685,1,1,1
36,4933,4961,5006,140,225,365,680,1,675,1,680,1,1,1
37,5068,5096,5140,140,220,360,675,1,675,1,670,1,1,1
38,5204,5233,5275,145,210,355,680,1,685,1,675,1,1,1
39,5342,5371,5413,145,210,355,690,1,690,1,690,1,1,1
40,5480,5508,5551,140,215,355,690,1,685,1,690,1,1,1
41,5617,5646,5691,145,225,370,685,1,690,1,700,1,1,1
42,5757,5786,5828,145,210,355,700,1,700,1,685,1,1,1
43,5898,5927,5970,145,215,360,705,1,705,1,710,1,1,1
44,6037,6066,6110,145,220,365,695,1,695,1,700,1,1,1
45,6179,6208,6251,145,215,360,710,1,710,1,705,1,1,1
46,6320,6350,6390,150,200,350,705,1,710,1,695,1,1,0
47,6461,6490,6534,145,220,365,705,1,700,1,720,1,1,1
48,6602,6631,6681,145,250,395,705,1,705,1,735,1,1,0
49,6744,6772,6818,140,230,370,710,1,705,1,685,1,1,1
51,7024,7057,7105,165,240,405,1400,0,1425,0,1435,0,0,0
