"INDEX","ECG_R","PPG_F","PPG_S","PAT1","PAT2","PAT3","ECG_R_INT","ECG_R_FLAG","PPG_F_INT","PPG_F_FLAG","PPG_S_INT","PPG_S_FLAG","PAT1_FLAG","PAT2_FLAG"
1,80,118,202,190,420,610,NA,1,NA,1,NA,1,1,1
3,257,300,383,215,415,630,885,1,910,1,905,1,1,1
5,426,466,549,200,415,615,845,1,830,1,830,1,1,1
7,601,641,704,200,315,515,875,1,875,1,775,1,1,1
9,776,821,917,225,480,705,875,1,900,1,1065,1,1,1
11,953,994,1071,205,385,590,885,1,865,1,770,1,1,1
13,1119,1155,1222,180,335,515,830,1,805,1,755,1,1,1
15,1291,1313,1402,110,445,555,860,1,790,1,900,1,0,1
16,1374,1410,1485,180,375,555,415,0,485,0,415,1,1,1
17,1464,1505,1582,205,385,590,450,0,475,0,485,1,1,1
19,1643,1680,1768,185,440,625,895,1,875,1,930,1,1,1
20,1741,1778,1861,185,415,600,490,0,490,0,465,1,1,1
21,1823,1859,1943,180,420,600,410,0,405,0,410,1,1,1
22,1914,1952,2024,190,360,550,455,0,465,0,405,1,1,1
23,2005,2038,2108,165,350,515,455,0,430,0,420,1,1,1
24,2107,2134,2198,135,320,455,510,0,480,0,450,1,0,1
25,2189,2228,2301,195,365,560,410,0,470,0,515,1,1,1
26,2288,2311,2386,115,375,490,495,0,415,0,425,1,0,1
27,2369,2415,2512,230,485,715,405,0,520,0,630,1,1,1
29,2550,2589,2650,195,305,500,905,1,870,1,690,1,1,1
30,2646,2681,2755,175,370,545,480,0,460,0,525,1,1,1
31,2731,2775,2843,220,340,560,425,0,470,0,440,1,1,1
32,2812,2863,2931,255,340,595,405,0,440,0,440,1,1,1
33,2909,2957,3028,240,355,595,485,0,470,0,485,1,1,1
35,3075,3120,3215,225,475,700,830,1,815,1,935,1,1,1
37,3243,3297,3373,270,380,650,840,1,885,1,790,1,0,1
39,3417,3455,3533,190,390,580,870,1,790,1,800,1,1,1
41,3595,3631,3717,180,430,610,890,1,880,1,920,1,1,1
43,3772,3817,3880,225,315,540,885,1,930,1,815,1,1,1
45,3947,3987,4059,200,360,560,875,1,850,1,895,1,1,1
46,4038,4080,4151,210,355,565,455,0,465,0,460,1,1,1
47,4123,4161,4247,190,430,620,425,0,405,0,480,1,1,1
49,4299,4331,4401,160,350,510,880,1,850,1,770,1,1,1
50,4389,4419,4515,150,480,630,450,0,440,0,570,1,1,1
51,4473,4523,4618,250,475,725,420,0,520,0,515,1,1,1
53,4648,4693,4760,225,335,560,875,1,850,1,710,1,1,1
54,4812,4857,4933,225,380,605,820,1,820,1,865,1,1,1
55,4975,5016,5068,205,260,465,815,1,795,1,675,1,1,1
57,5145,5177,5277,160,500,660,850,1,805,1,1045,1,1,1
58,5236,5271,5362,175,455,630,455,0,470,0,425,1,1,1
60,5403,5450,5455,235,25,260,835,1,895,1,465,1,1,0
61,5493,5532,5597,195,325,520,450,0,410,0,710,1,1,1
63,5664,5708,5800,220,460,680,855,1,880,1,1015,1,1,1
65,5833,5873,5933,200,300,500,845,1,825,1,665,1,1,1
67,6002,6035,6118,165,415,580,845,1,810,1,925,1,1,1
69,6173,6197,6259,120,310,430,855,1,810,1,705,1,0,1
71,6342,6387,6406,225,95,320,845,1,950,1,735,1,1,0
72,6426,6472,6495,230,115,345,420,0,425,0,445,1,1,0
73,6508,6553,6616,225,315,540,410,0,405,0,605,1,1,1
75,6677,6718,6795,205,385,590,845,1,825,1,895,1,1,1
78,6937,6980,6988,215,40,255,1300,0,1310,0,965,1,1,0
79,7021,7060,7068,195,40,235,420,0,400,0,400,1,1,0
80,7104,7151,7161,235,50,285,415,0,455,0,465,1,1,0
81,7187,7231,7299,220,340,560,415,0,400,0,690,1,1,1
83,7355,7394,7482,195,440,635,840,1,815,1,915,1,1,1
85,7527,7566,7639,195,365,560,860,1,860,1,785,1,1,1
