"INDEX","ECG_R","PPG_F","PPG_S","PAT1","PAT2","PAT3","ECG_R_INT","ECG_R_FLAG","PPG_F_INT","PPG_F_FLAG","PPG_S_INT","PPG_S_FLAG","PAT1_FLAG","PAT2_FLAG"
2,149,188,236,195,240,435,NA,1,NA,1,NA,1,1,1
3,296,335,394,195,295,490,735,1,735,1,790,1,1,1
4,446,486,550,200,320,520,750,1,755,1,780,1,0,1
5,597,635,687,190,260,450,755,1,745,1,685,1,1,1
6,747,785,847,190,310,500,750,1,750,1,800,1,1,1
7,897,936,1012,195,380,575,750,1,755,1,825,1,1,1
8,1045,1083,1147,190,320,510,740,1,735,1,675,1,1,1
9,1195,1233,1296,190,315,505,750,1,750,1,745,1,1,1
10,1345,1385,1441,200,280,480,750,1,760,1,725,1,0,1
11,1497,1538,1603,205,325,530,760,1,765,1,810,1,0,1
12,1654,1692,1753,190,305,495,785,1,770,1,750,1,1,1
13,1809,1849,1907,200,290,490,775,1,785,1,770,1,0,1
14,1962,2000,2066,190,330,520,765,1,755,1,795,1,1,1
15,2116,2155,2223,195,340,535,770,1,775,1,785,1,1,1
16,2270,2310,2367,200,285,485,770,1,775,1,720,1,0,1
17,2423,2460,2521,185,305,490,765,1,750,1,770,1,1,1
18,2573,2612,2681,195,345,540,750,1,760,1,800,1,1,1
19,2724,2763,2818,195,275,470,755,1,755,1,685,1,1,1
20,2878,2916,2977,190,305,495,770,1,765,1,795,1,1,1
21,3029,3070,3124,205,270,475,755,1,770,1,735,1,0,1
22,3182,3220,3277,190,285,475,765,1,750,1,765,1,1,1
23,3338,3378,3434,200,280,480,780,1,790,1,785,1,0,1
24,3489,3528,3575,195,235,430,755,1,750,1,705,1,1,1
25,3637,3674,3723,185,245,430,740,1,730,1,740,1,1,1
26,3785,3826,3888,205,310,515,740,1,760,1,825,1,0,1
27,3934,3972,4018,190,230,420,745,1,730,1,650,1,1,1
28,4079,4117,4165,190,240,430,725,1,725,1,735,1,1,1
29,4226,4264,4328,190,320,510,735,1,735,1,815,1,1,1
30,4376,4416,4475,200,295,495,750,1,760,1,735,1,0,1
31,4527,4565,4627,190,310,500,755,1,745,1,760,1,1,1
32,4679,4716,4775,185,295,480,760,1,755,1,740,1,1,1
33,4831,4870,4927,195,285,480,760,1,770,1,760,1,1,1
34,4983,5024,5077,205,265,470,760,1,770,1,750,1,0,1
35,5132,5171,5236,195,325,520,745,1,735,1,795,1,1,1
36,5280,5317,5386,185,345,530,740,1,730,1,750,1,1,1
37,5432,5470,5523,190,265,455,760,1,765,1,685,1,1,1
38,5582,5622,5681,200,295,495,750,1,760,1,790,1,0,1
